,Classifier,F Beta Score,Hamming Loss,Jaccard Score,Cross Entropy Loss,Zero One Loss,Precision,Recall,Accuracy,F Measure
0,K Nearest Neighbors,0.16666666666666666,0.8,0.0,27.631287648405273,0.8,0.0,0.0,0.2,0.0
1,Linear Support Vector,0.4666666666666667,0.5333333333333333,0.2727272727272727,18.420893969933747,0.5333333333333333,0.42857142857142855,0.42857142857142855,0.4666666666666667,0.42857142857142855
2,Gaussian Process,0.3137254901960784,0.4666666666666667,0.0,16.11809565095832,0.4666666666666667,0.0,0.0,0.5333333333333333,0.0
3,Decision Tree,0.3333333333333333,0.6666666666666666,0.16666666666666666,23.026117462417186,0.6666666666666667,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.2857142857142857
4,Random Forest,0.4017094017094017,0.6,0.25,20.72353236942314,0.6,0.375,0.42857142857142855,0.4,0.39999999999999997
5,Multi-Layer Perceptron,0.6647116324535679,0.3333333333333333,0.4444444444444444,11.51303207796092,0.33333333333333337,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.6153846153846153
6,Ada Boost,0.7345679012345679,0.26666666666666666,0.5,9.210393678471528,0.2666666666666667,0.8,0.5714285714285714,0.7333333333333333,0.6666666666666666
7,Gaussian Naive Bayes,0.6101694915254238,0.4,0.5384615384615384,13.81583039693635,0.4,0.5384615384615384,1.0,0.6,0.7000000000000001
8,Linear Discriminant Analysis,0.7333333333333333,0.26666666666666666,0.5555555555555556,9.210446984966874,0.2666666666666667,0.7142857142857143,0.7142857142857143,0.7333333333333333,0.7142857142857143
