filename,label,speaker,gender,duration,hnr,f0globalMean,f0globalSD,avgPauseLength,sound2silenceRatio,totalPauses
b103,n,B,m,1.62,-19.784188857117943,106.48052671851855,49.33637709812786,650.0,24.923076923076923,4
b107,n,B,m,1.746625,-72.79835792413326,66.68445128865979,52.5045180187176,650.0,26.846153846153847,4
b108_I,i,B,m,1.86325,-6.496432695103402,109.97168307936508,66.97745895911734,1200.0,31.166666666666668,2
b10_I,i,B,m,2.168375,-104.09729045707246,74.62924372727274,47.086390477572685,435.2941176470588,11.08108108108108,17
b111,n,B,m,1.7886875,-108.51407133364576,82.96885896341459,64.64916431086465,666.6666666666666,17.55,6
b114_I,i,B,m,1.938125,-40.419187896922104,101.62323792086335,57.78993318401854,1300.0,29.846153846153847,2
b115_I,i,B,m,1.7886875,-24.913413843340958,106.67577821167892,55.37467782590053,733.3333333333333,32.72727272727273,3
b117_I,i,B,m,2.162375,-46.2360482013442,146.79623446153843,77.13984135039216,533.3333333333333,26.8125,6
b118_I,i,B,m,1.5645,-27.879518450222722,87.38243763076926,38.93387400305164,1300.0,24.076923076923077,2
b11_I,i,B,m,2.3011875,-69.90690879721555,78.82524783536583,48.620904312347456,453.3333333333333,12.911764705882353,15
b127,n,B,m,1.58,-28.171728738065667,111.04029862698411,59.93832680091656,950.0,16.31578947368421,4
b13,n,B,m,1.6155,-45.63852191058147,75.03093171666669,42.19274505257634,550.0,29.545454545454547,4
b27_I,i,B,m,1.6844375,-6.738498856849194,99.69911896799996,64.80443048637323,1300.0,25.923076923076923,2
b29,n,B,m,1.6219375,-41.31901962503919,65.83500566037739,42.04577226539393,866.6666666666666,24.923076923076923,3
b33_I,i,B,m,2.0203125,-60.62225058005983,109.88621559281442,50.34858498930733,480.0,33.75,5
b35_I,i,B,m,1.5500625,-47.434714828635954,113.87493154736848,76.4743730085943,600.0,34.888888888888886,3
b36,n,B,m,1.8221875,-140.0645707480816,57.86436459310342,29.75819746341852,516.6666666666666,11.161290322580646,12
b37,n,B,m,1.8441875,-46.005887313224044,120.77364311678838,66.07040385398419,600.0,17.19047619047619,7
b39,n,B,m,1.5580625,-14.76126764757538,94.06651866972476,52.297953734051866,600.0,26.083333333333332,4
b40,n,B,m,1.6190625,-68.41184187638231,85.24878118115934,44.05731200841977,725.0,10.620689655172415,8
