fileName,speaker,label,duration,f0globalMean,f0globalRange,f0globalSD,f0globalMedian,sound2silenceRatio,totalPauses,hnrglobalMean,hnrglobalRange,hnrglobalSD,energyRange,energySD,Avg. Word Dur.,Avg. Sil. Dur.,Dynamic Range,Energy,Intensity,ZCR,Root Mean Square,Sound Pressure Level,Consonant Vowel Ratio,SyllPerSecond,Avg. Cons. Dur.,Avg. Voca. Dur.,sonorants_F0,sonorants_F1,sonorants_F2,sonorants_F3,stops_VOT,fricatives_CoG,fricatives_Kur,fricatives_Ske,fricatives_Std,stressedVowels_F0,stressedVowels_F1,stressedVowels_F2,stressedVowels_F3,unstressedVowels_F0,unstressedVowels_F1,unstressedVowels_F2,unstressedVowels_F3
SBep4_c781-N,c,N,5.9134375,117.42852842155963,371.8795656606888,64.84780791109142,105.14781661930988,19.620689655172416,17,11.969172384672234,28.478628543532714,8.174740105278788,0.1334147610655517,0.025038794905277783,-0.24140043395651015,-0.5131089701349925,91.88475696233769,144.4123769719154,65.8575798121968,0.0,0.0390680928616822,65.8158443133336,1.3478260869565215,3.889446705067907,0.012900070636818391,0.31262505595859724,-0.25662071180018936,-0.251692153138126,-0.18061292488475794,0.0031520100650232153,-0.4362885577467804,0.057754963915594676,-0.6134584829969953,-0.21089584541172895,0.13612167759343566,-0.20336310678060948,-0.10349347160491008,0.004285450941269787,0.0020744060472709727,-0.2683434548736413,-0.23360779018658206,-0.02653102332103969,0.023143031008367274
SBep14_d135-N,d,N,2.829,168.05192763546856,389.3771443182729,104.43864325139471,338.81410520118567,11.58695652173913,17,11.393129918179472,40.873998638643286,8.540193372475091,0.08053153459341249,0.01989455468871862,-0.11145626113444188,-0.3715754426944993,65.20854011918635,69.12855436187239,65.87739398463451,0.0,0.0390797945947752,65.81844553433363,1.4,3.5348179568752207,0.2960485280660906,0.5679624542684079,-0.20378309153573665,-0.3227052630804473,-0.04333855970003583,0.0419256707182049,0.11156778835042958,-0.003219191174786959,-0.7455742444282778,-0.3839864138883746,0.1441736687145408,-0.14063612076039567,-0.18962326295311843,-0.12532787342342416,0.0010924879893576185,0.008391723447480145,-0.4086849084046064,0.022160920142860918,0.05515649194863878
SBep23_c307-I,c,I,3.399375,222.70660335028177,377.05236473156924,109.53932843468151,207.98286017603127,32.0,9,12.471301436799914,27.42184986801843,8.887550783597957,0.11756232757721327,0.025809930570417184,-0.21002283633427335,-0.495295883676517,280.02578179507924,83.0639221612364,65.91415790929521,0.0,0.039079292054723436,65.81833383887721,1.4615384615384617,3.8242323956609665,0.10787179265949133,0.1695220476443502,0.47952738014839996,-0.04647206365310052,-0.10393974647758497,-0.029971846914328314,0.2922635801251353,-0.4661617690143065,0.9228017397680838,1.2397339186510663,-0.20440976102335248,0.29531009057348406,-0.044629275033504764,-0.033392774214385475,-0.00184780480786769,0.29864835075181106,-0.1068139492554756,0.03064160365429133,-0.022615413989907254
SBep15_c82-N,c,N,12.8574375,162.09106570545578,380.71495091081545,92.7703451695714,0.0,12.744680851063832,56,12.8391238339278,30.376872118609644,9.560541309996475,0.16619215664144796,0.028342673435751968,-0.3121870969548475,-0.13573543479246478,84.64367770762378,313.987537201494,65.84278030595655,0.0,0.039067804241922216,65.81578014514778,1.4791666666666667,3.7332477797383814,-0.1842904908455286,0.4728668287521025,0.01757873059482628,-0.15371512567547518,-0.07185335838521716,-0.0020300562467772585,0.0005899466214977686,-0.3674105875166621,0.07154643695815044,0.12456806813843646,-0.24175994686284596,-0.03754858258942293,-0.07679281190986847,-0.058240787619140526,-0.010197024836625556,-0.18452353680404476,-0.17478408871211404,-0.12303359052031075,-0.10522061552486618
SBep4_c978-N,c,N,5.2054375,132.4033699502464,385.758194594432,89.35040181149704,0.0,11.255813953488374,26,10.388625730685096,25.098432974863428,8.453083033848138,0.3151586787436198,0.03021261035199032,-0.4845348668689226,-0.7921806579844469,205.6372438874044,127.09700142778456,65.83947515135404,0.0,0.03906420970751021,65.81498094063105,1.64,4.802670284678282,-0.11217982065139584,-0.13555613221258986,0.17345500622558352,0.07176452607255934,-0.15630644633959287,-0.030926205306367117,0.07449637662236148,-0.26466395707875323,-0.1622300137085652,-0.01955865361898318,-0.20268167903193315,-0.22697553962774286,-0.07097576218580677,-0.026240564464155965,0.023373122388895547,-0.3051403646470868,-0.10036895599315522,-0.04045211205849415,-0.025344940034286372
SBep19_d392-I,d,I,3.60575,141.80880919586545,380.7012589053631,89.93348205873505,106.21492767776165,10.46875,15,8.462833906168154,25.69094741820345,6.790103005185844,0.13156194705500035,0.02716193739205447,-0.3863601190401654,0.5710613932637504,65.11362376363792,88.19257680606096,65.83499237511207,0.0,0.03909833096517428,65.82256445812314,1.5625,4.43735699923733,-0.02044108452179681,-0.036633237843562934,-0.2570129129811893,-0.28573577152886515,0.10293351292611357,-0.08433383870641788,-0.12489335673651396,-0.3451066879081225,-0.2410808149016714,0.10513877971416842,-0.133289362608453,-0.3091953723595925,0.33452877517300295,-0.08802457872545923,-0.09584096225556017,0.13786426613591707,0.19440674370322056,0.048395794283691555,0.05496819383578935
SBep28_c92-N,c,N,1.6975625,139.8901124136367,207.0567996661833,103.33270327811591,120.8843855872443,3.77027027027027,16,12.504238839073539,24.5002749957092,10.153425837776641,0.1243341334487315,0.03207758807651771,-0.1804909797486388,-0.04996872221461894,68.13545681786565,44.822873163968325,66.30260889877191,0.0,0.040623465371730116,66.15493944674058,1.1666666666666667,3.5344795846986488,0.2626415695345746,0.3031817102322752,-0.07555208941011811,-0.3144595421667176,-0.018915707831827423,-0.02435484950424777,-0.17158508570418737,-0.33349311007791954,-0.03415927661096668,0.053467172052761525,-0.02218347913834315,-0.23218049150826267,-0.07693896928094585,-0.055166949159011415,0.006560949932504899,-0.32418409840887524,-0.365722237922877,0.02251855987426816,-0.03694090405217186
SBep2_e368-I,e,I,0.7593125,288.6872739395368,451.80758868319504,190.621204480406,0.0,26.5,3,9.334553696028072,21.235881557936946,6.5840194762581135,0.08426534542086919,0.024255206404907543,0.8147450909240812,-0.475628332063976,63.6329927248264,18.64937109220773,66.21847944804243,0.0,0.03917976523415395,65.84063667404637,3.0,1.3169808214667875,1.0073585651906898,0.6498004895231118,0.40323253934516323,0.07894457276704281,-0.02821124611318717,-0.0807447550884738,,-0.2587534113289518,-0.5776402057018653,-0.17226023778333932,-0.34018846261564095,0.4261153023523919,0.07269435014362335,0.3214092159152019,0.06454478867959802,,,,
SBep23_c695-I,c,I,3.8196875,159.17665673168824,376.1452249085432,99.74742240841152,0.0,21.852941176470583,16,10.863112466890264,45.13884570376619,8.297406389731929,0.13726208685381436,0.02303070594294904,-0.40538742605462574,-0.07965719964541164,70.99562061235594,93.32141620758921,65.90301452388188,0.0,0.0390765984736532,65.81773513421763,1.625,4.18882434754152,-0.14567217688880302,0.07240994904531055,-0.009119346758756142,-0.20319947690529994,-0.09232247628198323,-0.015882635879363335,-0.2842569247918957,-0.43211017136071933,0.09892565088646015,0.5883836006148659,-0.15279843813161423,-0.16333877911374511,-0.14086238679185278,-0.16566879124807082,-0.030745686710826274,-0.201106078934455,-0.3566204441411348,-0.03611128658098118,0.09684955829015672
SBep4_c990-N,c,N,2.3113125,160.47209734004394,252.7799706509626,128.369117644461,137.74261359076053,18.791666666666668,9,6.799777525777039,38.498212696649105,6.506522936326926,0.13321556701621534,0.030847986495603493,-0.02544873267405682,-0.4656074062457229,96.10892283185215,56.524988529272385,65.94340073857522,0.0,0.0390958730758438,65.8220184085601,2.4285714285714284,3.028582244936589,0.07402715550967287,-0.022613717325793592,0.046524504995932386,0.030985341349825595,-0.016478077827973805,-0.16472588166301863,-0.10640273585544188,-0.06838330926948015,-0.5366928036587558,-0.4446999082466801,0.1132693696238557,-0.23237833742845407,0.027215992108579775,0.014846779965217369,-0.017697763470204263,-0.028460884386414247,-0.2567485065154336,0.07755630447446277,0.012846020140458159
SBep4_d750-I,d,I,1.169125,114.15268961691122,243.6582454688058,65.88695006581585,105.68067110848094,9.291666666666666,4,6.804100395715553,22.015273397020287,6.465256417550844,0.12667156032830693,0.028887955239317257,-0.6697749322990072,-0.4344178984250501,89.07622716775153,30.230929419398308,66.27447938663127,0.0,0.04020085451985975,66.06410577991002,1.1428571428571428,5.98738372714637,-0.2862669819216461,-0.012904992470251382,-0.42003174255277553,-0.1448330670923271,0.0879657234926679,-0.03295307214557731,-0.25548256243160583,-0.09940032315524439,-0.4926291233593105,-0.16477436546391547,-0.024721694952319444,-0.29494780983054436,0.16780299973430887,-0.1695364059386523,-0.03714117710209195,-0.494842579394483,1.2460344021951792,-0.15455439634996665,0.025868608555256047
SBep13_c114-N,c,N,6.2926875,121.66797774848331,206.0725365747694,73.13241323970658,99.76993589761628,30.8,18,11.706903449415648,32.6708342779648,8.395976382525529,0.09842799060827286,0.023146493657897223,-0.300561291392864,-0.4656074062457211,278.8258764376816,153.66478855814785,65.85857265477772,0.0,0.03906691409854785,65.81558223857625,1.2916666666666667,3.813950716605584,0.20797712127798346,0.2579323452936553,-0.17758514247898735,-0.12535821923509724,-0.056921389164531454,-0.0731176175365176,0.09527625496475182,0.5957241233235975,-0.852731168221237,-0.8876271148429348,0.054555143499502745,-0.24522101578665248,-0.13928352179566628,-0.018328965116765517,-0.0984014826758305,-0.09997025021490716,-0.036734160195466145,-0.034570614457724795,0.04097619515105589
SBep6_c909-N,c,N,1.9074375,162.02982526286797,354.8027234786925,107.57670520151608,136.6544580005985,11.709677419354836,12,11.271029210875405,22.25040584424994,8.532820501727839,0.14017921803961314,0.02839452467728624,-0.5237988125566414,-0.6635305891176779,83.30489829937984,46.667218887247145,65.96549359496261,0.0,0.03910396634268337,65.82381629518886,1.7,5.2426357351158295,-0.3159062703760045,-0.2180909738606347,0.28972874292466855,-0.15758610474061063,-0.05755336835367057,-0.01696743488268854,-0.2181695671512171,-0.4648020398012574,0.6861455229789485,0.6237543186787733,-0.3551622757555015,-0.15131247865266667,-0.10692481101356259,-0.04609347383127416,-0.10217854501511829,-0.25934619708360035,-0.2917845730028347,0.14556303718548788,0.01062076991161393
SBep21_d1037-I,d,I,0.9194375,146.8601834728306,276.5800455147519,112.47514337468458,151.63659845522685,10.588235294117649,5,4.817446812818228,24.50948834105665,5.628260208397824,0.10150729782671616,0.022275731039495227,-0.022942325462010933,-0.4972603541555998,54.674642732748204,22.440902120433744,65.92416855914615,0.0,0.0390570158540034,65.81338124688942,3.0,2.1752430154306297,0.24771105382586295,0.528099002041246,-0.2897403413089518,-0.10072652506886302,-0.1513335159604003,-0.002124934960856939,0.18074808489055125,-0.3332935886797742,-0.6049113995712069,-0.11260906509220318,-0.11939302329721353,-0.18121650586114202,0.07421438832320573,-0.06058640917057597,-0.10007997240881439,,,,
SBep23_d793-I,d,I,1.836875,185.85982313393285,347.9304048477369,125.53685817450564,194.9131877349389,28.23076923076923,3,9.861901049992936,22.418062337324447,8.084541945849733,0.2146610292556872,0.03036009910655845,-0.2946120203335493,0.06832174741935082,76.85139852572304,44.88163199648261,66.09079180934503,0.0,0.039078197834399135,65.81809063052978,1.4285714285714286,3.810820006805036,0.21810435085372376,-0.012904992470251196,0.2877242805244642,-0.09298847277843297,0.13275810344859984,-0.006727870498737791,0.3998464021264241,0.4697808841473499,-0.5974353733959754,-0.28755827685250135,0.6378834681695498,0.4490610018276518,-0.06781536902984463,0.26200011521916555,0.007815608816856253,0.5502422305931558,0.6438903063105631,0.20239642844468397,0.2509200455409814
SBep21_c188-I,c,I,0.8825,167.77159096243398,376.1612115668929,109.26352524651476,141.61299144265618,7.590909090909091,7,8.29484803117808,20.441318635906814,6.759037472220956,0.098705051071701,0.029885801256858868,-0.3133843343839948,-0.2874765416609639,81.3602818071126,21.656775504350662,66.13489553563265,0.0,0.0391633243042911,65.8369910658562,1.5,2.26628895184136,0.08542871767007244,0.8461740894957239,,,,,-0.03316020168738043,,,,,-0.010255287223863499,0.06904657922628363,-0.030134935521113616,0.012155566860519558,,,,
SBep13_c409-N,c,N,0.922875,147.0143544737039,306.13803786818335,126.9611507958573,0.0,11.375,5,6.256548810448934,19.90701708192875,5.910925990962437,0.1789324247301959,0.032621268362602734,-0.08082096377212193,-0.5249843611073092,284.3974950651534,23.00736069027334,66.19663915900234,0.0,0.0394731666815443,65.90543945636085,2.5,2.16714072870107,0.4885879556618136,0.03168552060055158,0.5014649422535757,-0.11064823973220572,-0.08151948178860288,-0.07571396238194938,0.5679199280464826,3.151507032777878,-0.22972870701094666,-1.9087973012603139,-0.5164782031099685,-0.29596312249719103,0.022503957056367,-0.020984411919958482,-0.005977889515921483,,,,
SBep21_c724-N,c,N,1.1835,133.61519941435418,258.7843918544579,95.73269871410723,0.0,9.869565217391305,7,9.906911004263113,22.717051843528484,8.064224791097338,0.10025786700220636,0.028889714252533106,-0.09189540999173468,-0.3270611782353553,81.9243032990742,29.732855039648708,66.17681851915354,0.0,0.03962544790478024,65.93888377242267,0.6666666666666666,2.534854245880862,1.3840666477396235,0.4841791699867588,,,,,1.4608058887883726,-0.7742024411951781,0.9088629883369824,2.3451396140953316,-0.4860291797528633,-0.2622224170984788,-0.07247455850650905,-0.033113038813083785,-0.07049225156801323,,,,
SBep4_c173-I,c,I,2.4759375,167.66106978035472,280.98090368733705,102.1631043987498,157.23196019681538,28.882352941176467,7,10.73267798458728,27.640574431194878,9.163695818044816,0.19772389834684648,0.03034971920071377,0.5799543273314532,-0.049968722214618615,148.5565252703675,60.65944626554847,65.93660945173507,0.0,0.039130859809903065,65.82978789911371,1.8,2.0194370819134164,1.1062485830978783,0.10770445369743546,-0.004522784611808749,0.0829081538739654,0.018342813245541902,0.02948574553089316,5.947011838534826,-0.5661891133619796,0.40091272836495884,0.9749351157802408,-0.3001387588197144,-0.009719533904857275,-0.008412901247804694,-0.0028106063507262655,0.03720817305550943,0.032740571608704055,-0.32306528611927576,-0.06877386500358931,-0.08138704125158369
