fileName,speaker,label,f0globalMean,f0globalRange,f0globalSD,f0globalMedian,energyRange,energySD,hnrglobalMean,hnrglobalRange,hnrglobalSD,duration,sound2silenceRatio,totalPauses,Avg. Word Dur.,Avg. Sil. Dur.,SyllPerSecond
SBep4_c781-N,c,N,117.4268756488776,371.1370461409587,64.8420548960186,105.14780457554329,0.14882796634131612,0.02793100599789151,11.96928854507098,28.483395262770863,8.17489214295319,5.9134375,19.982456140350877,17,-0.2516753549145644,-0.4973801442231188,3.889446705067907
SBep14_d135-N,d,N,168.05309423047711,389.37838224019805,104.43956909983929,338.826513665528,0.08983276959395395,0.02219254197330135,11.393309940454245,40.89786942475561,8.540270849550003,2.829,12.159090909090908,17,-0.1182770333848471,-0.3563199112088805,3.5348179568752207
SBep23_c307-I,c,I,222.70697162362427,377.0417313481698,109.5398285747708,207.9829225020767,0.13114403231707966,0.028791143163716237,12.471459980517785,27.43308091176425,8.887769306827996,3.399375,32.0,9,-0.22072275402295272,-0.4789916129142089,3.8242323956609665
SBep3_d1258-I,d,I,156.7032226988995,392.2081646020693,109.46922833323593,0.0,0.1280693407366081,0.026219350933235918,9.11616859667707,25.683380734319787,6.882006574635211,2.4378125,20.782608695652176,8,-0.12503353121331565,-0.35631991120888123,4.922445840276887
SBep3_c234-N,c,N,165.3053044550191,360.6431981953223,146.7649657754616,0.0,0.11327229096425755,0.03163751245484445,5.462223929820732,16.493575116122297,4.960850771268009,0.412,6.3076923076923075,3,-0.19159089436025944,-0.8774097912739314,2.4271844660194177
SBep15_c82-N,c,N,162.0621675095317,380.7002073034162,92.74860522090498,0.0,0.1853956260154312,0.03161641663337508,12.839308478424313,30.383591066874352,9.560735700836196,12.8574375,12.528795811518323,54,-0.3215032415047029,-0.10781570316027707,3.7332477797383814
SBep4_c978-N,c,N,132.3620332401447,372.53018664206076,89.25652815185438,0.0,0.3515624714148453,0.033702462757563154,10.388883042356136,25.098966558461534,8.453280915260947,5.2054375,11.255813953488374,26,-0.4915166313420796,-0.7854671347293789,4.802670284678282
SBep19_d392-I,d,I,141.8102536836407,380.7329928900135,89.93544023416395,106.21568432801126,0.14675973472391265,0.030299266374379838,8.462801346668844,25.68800012742993,6.7901714565832165,3.60575,10.12121212121212,15,-0.3910706332092671,0.6092002219777973,4.43735699923733
SBep28_c92-N,c,N,144.78292554674744,374.6448308267873,106.807228489117,122.72791292831695,0.13868979670451284,0.03605029528603836,12.503695316796394,24.51055633861904,10.088981891315056,1.6575625,4.149253731343284,15,-0.19159089436025944,-0.019278330191450817,3.619773010067493
SBep2_e368-I,e,I,288.6862318211201,451.8019256791762,190.62024203797424,0.0,0.09399845500067702,0.027056752158804924,9.334759353609595,21.23543957607852,6.584127516077242,0.7593125,32.0,3,0.8147450909240812,-0.475628332063976,1.3169808214667875
SBep23_c695-I,c,I,159.17662659775362,376.14026348156403,99.74713559382057,0.0,0.15312681338653047,0.02569099926275849,10.862394406470173,45.07423250281045,8.297238937473976,3.8196875,21.2,16,-0.4134412102530781,-0.049925882372967516,4.18882434754152
SBep3_c664-N,c,N,206.02342284279186,386.7428785817533,129.38604392517024,0.0,0.1119589179379171,0.029561714823998407,8.122477470653328,22.87053090193757,5.706185625498407,0.903375,11.933333333333335,3,-0.5193243155655597,,6.6417600664176
SBep4_c990-N,c,N,160.48139650982858,253.60676031521805,128.37892946909528,137.7425196269862,0.1486028419528536,0.034410925642490035,6.799711317095003,38.503771634714745,6.5066586223314555,2.3113125,20.59090909090909,8,-0.03864863113111917,-0.4483440607326909,3.028582244936589
SBep16_c123-N,c,N,159.50344291084792,229.66902631988447,116.82832540019476,124.88209609175723,0.13090989383121152,0.03061763236603397,11.134115737748594,21.320705578532536,8.569360157588887,1.196,13.0,4,-0.2935524031796862,-0.35640140418813954,2.508361204013378
SBep4_d750-I,d,I,114.15257784507051,243.67061343394425,65.88698343383483,105.68048089701168,0.14130084211457147,0.03222461475560928,6.804220134058786,22.014246808595786,6.465311989577797,1.169125,9.291666666666666,4,-0.6723098553192727,-0.4206879200879932,5.98738372714637
SBep13_c114-N,c,N,121.6235702073716,205.859282975155,73.0917034015284,99.76994241986615,0.1097916572624086,0.02582002858571553,11.706940202086045,32.670028732031675,8.396023318090991,6.2926875,32.473684210526315,18,-0.31003490272568385,-0.44834406073268895,3.813950716605584
SBep3_c453-I,c,I,199.1334492982924,385.71108196552484,111.72201949868229,127.38166693707035,0.2078919974661093,0.02952003002020193,11.486655742727578,45.59057393255826,8.556045806950165,6.76275,22.551724137931036,24,-0.3584369997011394,-0.4279123592783464,3.8445898488041115
SBep6_c909-N,c,N,162.03174730511094,354.71175106554705,107.57899219546341,136.65432835502492,0.15637837232807847,0.03167448588941348,11.271251300904364,22.265288058955807,8.533083333785076,1.9074375,11.3125,13,-0.5302487629390696,-0.6526610752761393,5.2426357351158295
SBep21_d1037-I,d,I,146.86086456847463,276.5789609168177,112.47550282492901,151.6382674837026,0.11322985667289764,0.024848804607681626,4.817670885805062,24.510256297893466,5.62815491336478,0.9194375,9.944444444444443,5,-0.030442561614755368,-0.4850559289671048,2.1752430154306297
SBep23_d793-I,d,I,185.858345395252,347.8482015128248,125.5351454080913,194.91321652992187,0.23944948798533144,0.033866524583810426,9.861579412669109,22.43273508039988,8.08437553287288,1.836875,28.23076923076923,3,-0.30002682497065264,0.09425615094490276,3.810820006805036
SBep21_c188-I,c,I,169.03593496541401,375.9355787869591,110.35414044239485,141.61696656903632,0.11010711522991212,0.03333804453289036,8.294831411100077,20.43922696777132,6.758979412032862,0.8825,7.590909090909091,7,-0.3226842628423796,-0.2644587476435878,2.26628895184136
SBep13_c409-N,c,N,136.8870112385358,351.2794948699855,118.51654439019305,0.0,0.1896945068264557,0.03641313282941217,6.899364521420512,18.290504152375075,6.332154606230582,0.927875,11.4375,5,-0.09327086799866938,-0.5096391650957252,2.155462750909336
SBep21_c724-N,c,N,133.85945552139572,273.2314178733153,96.071809889786,0.0,0.11183034542107874,0.032226242232160106,9.906766660415057,22.717339846190022,8.06413934938562,1.1835,8.25925925925926,5,-0.10419531537217916,-0.305322150552278,2.534854245880862
