0,1,2,3,4,5
audspecRasta,lengthL1norm,sma,upleveltime75,pad,pad
audspecRasta,lengthL1norm,sma,upleveltime90,pad,pad
audspecRasta,lengthL1norm,sma,risetime,pad,pad
audspecRasta,lengthL1norm,sma,leftctime,pad,pad
audspecRasta,lengthL1norm,sma,lpgain,pad,pad
audspecRasta,lengthL1norm,sma,lpc0,pad,pad
audspecRasta,lengthL1norm,sma,lpc1,pad,pad
audspecRasta,lengthL1norm,sma,lpc2,pad,pad
audspecRasta,lengthL1norm,sma,lpc3,pad,pad
audspecRasta,lengthL1norm,sma,lpc4,pad,pad
pcm,RMSenergy,sma,range,pad,pad
pcm,RMSenergy,sma,maxPos,pad,pad
pcm,RMSenergy,sma,minPos,pad,pad
pcm,RMSenergy,sma,quartile1,pad,pad
pcm,RMSenergy,sma,quartile2,pad,pad
pcm,RMSenergy,sma,quartile3,pad,pad
pcm,RMSenergy,sma,iqr1-2,pad,pad
pcm,RMSenergy,sma,iqr2-3,pad,pad
pcm,RMSenergy,sma,iqr1-3,pad,pad
pcm,RMSenergy,sma,percentile1.0,pad,pad
pcm,RMSenergy,sma,percentile99.0,pad,pad
pcm,RMSenergy,sma,pctlrange0-1,pad,pad
pcm,RMSenergy,sma,stddev,pad,pad
pcm,RMSenergy,sma,skewness,pad,pad
pcm,RMSenergy,sma,kurtosis,pad,pad
pcm,RMSenergy,sma,meanSegLen,pad,pad
pcm,RMSenergy,sma,maxSegLen,pad,pad
pcm,RMSenergy,sma,minSegLen,pad,pad
pcm,RMSenergy,sma,segLenStddev,pad,pad
pcm,RMSenergy,sma,upleveltime25,pad,pad
pcm,RMSenergy,sma,upleveltime50,pad,pad
pcm,RMSenergy,sma,upleveltime75,pad,pad
pcm,RMSenergy,sma,upleveltime90,pad,pad
pcm,RMSenergy,sma,risetime,pad,pad
pcm,RMSenergy,sma,leftctime,pad,pad
pcm,RMSenergy,sma,lpgain,pad,pad
pcm,RMSenergy,sma,lpc0,pad,pad
pcm,RMSenergy,sma,lpc1,pad,pad
pcm,RMSenergy,sma,lpc2,pad,pad
pcm,RMSenergy,sma,lpc3,pad,pad
pcm,RMSenergy,sma,lpc4,pad,pad
pcm,zcr,sma,range,pad,pad
pcm,zcr,sma,maxPos,pad,pad
pcm,zcr,sma,minPos,pad,pad
pcm,zcr,sma,quartile1,pad,pad
pcm,zcr,sma,quartile2,pad,pad
pcm,zcr,sma,quartile3,pad,pad
pcm,zcr,sma,iqr1-2,pad,pad
pcm,zcr,sma,iqr2-3,pad,pad
pcm,zcr,sma,iqr1-3,pad,pad
pcm,zcr,sma,percentile1.0,pad,pad
pcm,zcr,sma,percentile99.0,pad,pad
pcm,zcr,sma,pctlrange0-1,pad,pad
pcm,zcr,sma,stddev,pad,pad
pcm,zcr,sma,skewness,pad,pad
pcm,zcr,sma,kurtosis,pad,pad
pcm,zcr,sma,meanSegLen,pad,pad
pcm,zcr,sma,maxSegLen,pad,pad
pcm,zcr,sma,minSegLen,pad,pad
pcm,zcr,sma,segLenStddev,pad,pad
pcm,zcr,sma,upleveltime25,pad,pad
pcm,zcr,sma,upleveltime50,pad,pad
pcm,zcr,sma,upleveltime75,pad,pad
pcm,zcr,sma,upleveltime90,pad,pad
pcm,zcr,sma,risetime,pad,pad
pcm,zcr,sma,leftctime,pad,pad
pcm,zcr,sma,lpgain,pad,pad
pcm,zcr,sma,lpc0,pad,pad
pcm,zcr,sma,lpc1,pad,pad
pcm,zcr,sma,lpc2,pad,pad
pcm,zcr,sma,lpc3,pad,pad
pcm,zcr,sma,lpc4,pad,pad
audspec,lengthL1norm,sma,de,range,pad
audspec,lengthL1norm,sma,de,maxPos,pad
audspec,lengthL1norm,sma,de,minPos,pad
audspec,lengthL1norm,sma,de,quartile1,pad
audspec,lengthL1norm,sma,de,quartile2,pad
