Feature,Welch Test Statistic,Welch p-Value,Welch Mean Diff.,Levene Center Strategy,Levene Test Statistic,Levene p-Value,T Test Statistic,p-Value,Mean Diff.
duration,-11.415697520542553,8.248786137743145e-30,-0.5281926686039182,trimmed,665.4101636709377,5.591636015481025e-138,,,
f0globalMean,14.94017892285407,1.565819760283793e-49,15.799604896163316,trimmed,15.936023426212213,6.643643404234867e-05,,,
f0globalRange,5.003255358900757,5.809136412190446e-07,9.748914122885708,trimmed,135.47218766585326,6.341925475306399e-31,,,
f0globalSD,6.777678772413227,1.3447517372621163e-11,4.682264272087295,trimmed,0.04094423818474127,0.839653642198936,6.777453744201626,1.346823487110381e-11,4.682264272087295
f0globalMedian,7.0528825470859,1.960701358010198e-12,16.59810892569442,median,5.119095825957033,0.023701337356995276,,,
sound2silenceRatio,12.900015767384803,1.5200598642289955e-37,3.1534876720702716,trimmed,30.17957209097539,4.129120716274166e-08,,,
totalPauses,-16.336361059963508,1.876466110037054e-58,-3.9081040964697706,trimmed,596.3632328963174,1.3155093202722834e-124,,,
hnrglobalMean,-8.500287332458171,2.3850015886220466e-17,-0.59592524475155,median,0.6048273863497177,0.4367741505150591,-8.500400526121867,2.3826420490562646e-17,-0.59592524475155
hnrglobalRange,-5.925760027097886,3.2936697513938525e-09,-0.9513060407261165,median,51.35460396802297,8.685787670437931e-13,,,
hnrglobalSD,-11.35859365022525,1.3950325187339532e-29,-0.49529280854686686,median,1.6253136074107728,0.20240436090689568,-11.359964812289665,1.372727946354204e-29,-0.49529280854686686
rmsRange,-5.5919948291632595,2.350549345420219e-08,-0.005160142063833223,trimmed,52.46415438358674,5.034754642691541e-13,,,
rmsSD,-10.407991875047214,3.817944406878978e-25,-0.0009137068663627144,median,0.38788966177642925,0.5334355655646923,-10.409016957569197,3.775567722324478e-25,-0.0009137068663627144
Avg. Word Dur.,3.222316495613621,0.0012788371630122937,0.024902158528970042,trimmed,52.71316648590404,4.440339459021699e-13,,,
Avg. Sil. Dur.,-0.6294182959262925,0.5291022335449707,-0.009859593181339305,trimmed,13.236320740325777,0.00027745079858328576,,,
Dynamic Range,-14.160099480223277,1.3358733076160175e-44,-9.603588935171715,trimmed,60.89066446732843,7.396097013142867e-15,,,
Intensity,-1.449823646918836,0.14716510835817026,-0.005144039203713646,trimmed,144.37055522713163,8.199540718757124e-33,,,
Consonant Vowel Ratio,4.111257319372448,3.991010726071153e-05,0.03062605330898238,median,1.2673716698849353,0.26030824249005835,4.1110438136343515,3.994692376711347e-05,0.03062605330898238
SyllPerSecond,-3.364411735596492,0.0007720846806840082,-0.1327096385978539,median,4.975429752054872,0.025748160219550238,,,
Avg. Cons. Dur.,3.9043004135735377,9.559644429323984e-05,0.04592875188191862,trimmed,17.214295010213817,3.393246028440712e-05,,,
Avg. Voca. Dur.,-1.5450255511798494,0.12239632887421811,-0.02143218524022633,trimmed,7.437686448955411,0.0064089413340860145,,,
sonorants_F0,9.345251659435316,1.3040099702014421e-20,0.0713727030955608,trimmed,4.488760902087253,0.03416826764364444,,,
sonorants_F1,13.267058677866327,1.5349095902415963e-39,0.10452257897271466,trimmed,281.46814892201036,1.7531561337851232e-61,,,
sonorants_F2,10.975993138202899,9.681316778275104e-28,0.04055083283082159,trimmed,75.84565590324718,4.11240411075066e-18,,,
sonorants_F3,6.180590508204835,6.845114702013145e-10,0.011946159990239558,trimmed,23.34507186034817,1.3944813600561696e-06,,,
stops_duration,7.208286440418606,6.507920081649633e-13,0.10530345898435806,trimmed,175.5460819094777,2.295246454087098e-39,,,
fricatives_CoG,-2.821502821432434,0.004798441471262306,-0.0339565106097078,trimmed,0.05756946285549249,0.8103902716892812,-2.8214024256836536,0.004799875786043959,-0.0339565106097078
fricatives_Kur,-2.0865627471459303,0.03697695901189039,-0.05363915265527147,trimmed,5.3087352033163056,0.021262811235615485,,,
fricatives_Ske,1.385937770792778,0.16582696806906663,0.025450017657693138,trimmed,6.539784743526562,0.010580918707089541,,,
fricatives_Std,0.04963855046154304,0.9604123573460082,0.00037788030578142853,trimmed,22.504691980177274,2.1595190242423804e-06,,,
stressedVowels_F0,9.757279972752034,2.5774442297913976e-22,0.07197119175544006,trimmed,0.05598363260982874,0.8129699995188674,9.756545005743694,2.595619049231665e-22,0.07197119175544006
stressedVowels_F1,12.853429585467893,2.8804764403815396e-37,0.055536376511030765,trimmed,168.96100623198106,5.003958034247761e-38,,,
stressedVowels_F2,1.5974751119617212,0.11021637002669386,0.0036474193464468988,trimmed,40.76136456019673,1.8726954493442544e-10,,,
stressedVowels_F3,1.0071990511676048,0.3138819945691708,0.0014711894182693926,trimmed,0.22519551127474932,0.6351296363069835,1.0072179207229743,0.3138729226988668,0.0014711894182693926
unstressedVowels_F0,5.557902218754009,2.8790342266786402e-08,0.04837258430782076,trimmed,0.2243986678569391,0.6357325716727344,5.559602520283874,2.8505061420632564e-08,0.04837258430782076
unstressedVowels_F1,10.60533189206787,5.602730315789342e-26,0.08258176702910401,trimmed,305.1255965021337,4.4786928421005965e-66,,,
unstressedVowels_F2,0.73200027682231,0.46420406664259073,0.0022531054819103693,trimmed,41.738405974503905,1.1584624484491827e-10,,,
unstressedVowels_F3,2.1155914143439034,0.03443060116857567,0.004734954386016759,trimmed,11.817211379405569,0.0005923540084206263,,,
