,PC1,PC2,PC3,PC4,PC5,PC6
Proportion of Variance,0.12446235908871012,0.11655543189446772,0.08269023204151266,0.07529427202713683,0.06639303606147949,0.0530085975853774
Cumulative Proportion,12.4,24.1,32.400000000000006,39.900000000000006,46.50000000000001,51.800000000000004
