Field1,Field2,Field3,Field4,Field5,Field6
audspec,lengthL1norm,sma,de,lpc4,
audspecRasta,lengthL1norm,sma,de,range,
audspecRasta,lengthL1norm,sma,de,maxPos,
audspecRasta,lengthL1norm,sma,de,minPos,
audspecRasta,lengthL1norm,sma,de,quartile1,
audspecRasta,lengthL1norm,sma,de,quartile2,
audspecRasta,lengthL1norm,sma,de,quartile3,
audspecRasta,lengthL1norm,sma,de,iqr1-2,
audspecRasta,lengthL1norm,sma,de,iqr2-3,
audspecRasta,lengthL1norm,sma,de,iqr1-3,
audspecRasta,lengthL1norm,sma,de,percentile1.0,
audspecRasta,lengthL1norm,sma,de,percentile99.0,
audspecRasta,lengthL1norm,sma,de,pctlrange0-1,
audspecRasta,lengthL1norm,sma,de,stddev,
audspecRasta,lengthL1norm,sma,de,skewness,
audspecRasta,lengthL1norm,sma,de,kurtosis,
audspecRasta,lengthL1norm,sma,de,meanSegLen,
audspecRasta,lengthL1norm,sma,de,maxSegLen,
audspecRasta,lengthL1norm,sma,de,minSegLen,
audspecRasta,lengthL1norm,sma,de,segLenStddev,
audspecRasta,lengthL1norm,sma,de,upleveltime25,
audspecRasta,lengthL1norm,sma,de,upleveltime50,
audspecRasta,lengthL1norm,sma,de,upleveltime75,
audspecRasta,lengthL1norm,sma,de,upleveltime90,
audspecRasta,lengthL1norm,sma,de,risetime,
audspecRasta,lengthL1norm,sma,de,leftctime,
audspecRasta,lengthL1norm,sma,de,lpgain,
audspecRasta,lengthL1norm,sma,de,lpc0,
audspecRasta,lengthL1norm,sma,de,lpc1,
audspecRasta,lengthL1norm,sma,de,lpc2,
audspecRasta,lengthL1norm,sma,de,lpc3,
audspecRasta,lengthL1norm,sma,de,lpc4,
pcm,RMSenergy,sma,de,range,
pcm,RMSenergy,sma,de,maxPos,
pcm,RMSenergy,sma,de,minPos,
pcm,RMSenergy,sma,de,quartile1,
pcm,RMSenergy,sma,de,quartile2,
pcm,RMSenergy,sma,de,quartile3,
pcm,RMSenergy,sma,de,iqr1-2,
pcm,RMSenergy,sma,de,iqr2-3,
pcm,RMSenergy,sma,de,iqr1-3,
pcm,RMSenergy,sma,de,percentile1.0,
