Field1,Field2,Field3,Field4,Field5,Field6
pcm,fftMag,spectralHarmonicity,sma,skewness,
pcm,fftMag,spectralHarmonicity,sma,kurtosis,
pcm,fftMag,spectralHarmonicity,sma,meanSegLen,
pcm,fftMag,spectralHarmonicity,sma,maxSegLen,
pcm,fftMag,spectralHarmonicity,sma,minSegLen,
pcm,fftMag,spectralHarmonicity,sma,segLenStddev,
pcm,fftMag,spectralHarmonicity,sma,upleveltime25,
pcm,fftMag,spectralHarmonicity,sma,upleveltime50,
pcm,fftMag,spectralHarmonicity,sma,upleveltime75,
pcm,fftMag,spectralHarmonicity,sma,upleveltime90,
pcm,fftMag,spectralHarmonicity,sma,risetime,
pcm,fftMag,spectralHarmonicity,sma,leftctime,
pcm,fftMag,spectralHarmonicity,sma,lpgain,
pcm,fftMag,spectralHarmonicity,sma,lpc0,
pcm,fftMag,spectralHarmonicity,sma,lpc1,
pcm,fftMag,spectralHarmonicity,sma,lpc2,
pcm,fftMag,spectralHarmonicity,sma,lpc3,
pcm,fftMag,spectralHarmonicity,sma,lpc4,
mfcc,sma[1],range,,,
mfcc,sma[1],maxPos,,,
mfcc,sma[1],minPos,,,
mfcc,sma[1],quartile1,,,
mfcc,sma[1],quartile2,,,
mfcc,sma[1],quartile3,,,
mfcc,sma[1],iqr1-2,,,
mfcc,sma[1],iqr2-3,,,
mfcc,sma[1],iqr1-3,,,
mfcc,sma[1],percentile1.0,,,
mfcc,sma[1],percentile99.0,,,
mfcc,sma[1],pctlrange0-1,,,
mfcc,sma[1],stddev,,,
mfcc,sma[1],skewness,,,
mfcc,sma[1],kurtosis,,,
mfcc,sma[1],meanSegLen,,,
mfcc,sma[1],maxSegLen,,,
mfcc,sma[1],minSegLen,,,
mfcc,sma[1],segLenStddev,,,
mfcc,sma[1],upleveltime25,,,
mfcc,sma[1],upleveltime50,,,
mfcc,sma[1],upleveltime75,,,
mfcc,sma[1],upleveltime90,,,
mfcc,sma[1],risetime,,,
mfcc,sma[1],leftctime,,,
mfcc,sma[1],lpgain,,,
mfcc,sma[1],lpc0,,,
mfcc,sma[1],lpc1,,,
mfcc,sma[1],lpc2,,,
mfcc,sma[1],lpc3,,,
mfcc,sma[1],lpc4,,,
mfcc,sma[2],range,,,
mfcc,sma[2],maxPos,,,
mfcc,sma[2],minPos,,,
mfcc,sma[2],quartile1,,,
mfcc,sma[2],quartile2,,,
mfcc,sma[2],quartile3,,,
mfcc,sma[2],iqr1-2,,,
mfcc,sma[2],iqr2-3,,,
mfcc,sma[2],iqr1-3,,,
mfcc,sma[2],percentile1.0,,,
mfcc,sma[2],percentile99.0,,,
mfcc,sma[2],pctlrange0-1,,,
mfcc,sma[2],stddev,,,
mfcc,sma[2],skewness,,,
mfcc,sma[2],kurtosis,,,
mfcc,sma[2],meanSegLen,,,
mfcc,sma[2],maxSegLen,,,
mfcc,sma[2],minSegLen,,,
mfcc,sma[2],segLenStddev,,,
mfcc,sma[2],upleveltime25,,,
mfcc,sma[2],upleveltime50,,,
mfcc,sma[2],upleveltime75,,,
mfcc,sma[2],upleveltime90,,,
mfcc,sma[2],risetime,,,
mfcc,sma[2],leftctime,,,
mfcc,sma[2],lpgain,,,
mfcc,sma[2],lpc0,,,
mfcc,sma[2],lpc1,,,
mfcc,sma[2],lpc2,,,
mfcc,sma[2],lpc3,,,
mfcc,sma[2],lpc4,,,
mfcc,sma[3],range,,,
mfcc,sma[3],maxPos,,,
mfcc,sma[3],minPos,,,
mfcc,sma[3],quartile1,,,
mfcc,sma[3],quartile2,,,
mfcc,sma[3],quartile3,,,
mfcc,sma[3],iqr1-2,,,
mfcc,sma[3],iqr2-3,,,
mfcc,sma[3],iqr1-3,,,
mfcc,sma[3],percentile1.0,,,
mfcc,sma[3],percentile99.0,,,
mfcc,sma[3],pctlrange0-1,,,
mfcc,sma[3],stddev,,,
mfcc,sma[3],skewness,,,
mfcc,sma[3],kurtosis,,,
mfcc,sma[3],meanSegLen,,,
mfcc,sma[3],maxSegLen,,,
mfcc,sma[3],minSegLen,,,
mfcc,sma[3],segLenStddev,,,
mfcc,sma[3],upleveltime25,,,
mfcc,sma[3],upleveltime50,,,
mfcc,sma[3],upleveltime75,,,
mfcc,sma[3],upleveltime90,,,
mfcc,sma[3],risetime,,,
mfcc,sma[3],leftctime,,,
mfcc,sma[3],lpgain,,,
mfcc,sma[3],lpc0,,,
mfcc,sma[3],lpc1,,,
mfcc,sma[3],lpc2,,,
mfcc,sma[3],lpc3,,,
mfcc,sma[3],lpc4,,,
mfcc,sma[4],range,,,
mfcc,sma[4],maxPos,,,
mfcc,sma[4],minPos,,,
mfcc,sma[4],quartile1,,,
mfcc,sma[4],quartile2,,,
mfcc,sma[4],quartile3,,,
mfcc,sma[4],iqr1-2,,,
mfcc,sma[4],iqr2-3,,,
mfcc,sma[4],iqr1-3,,,
mfcc,sma[4],percentile1.0,,,
mfcc,sma[4],percentile99.0,,,
mfcc,sma[4],pctlrange0-1,,,
mfcc,sma[4],stddev,,,
mfcc,sma[4],skewness,,,
mfcc,sma[4],kurtosis,,,
mfcc,sma[4],meanSegLen,,,
mfcc,sma[4],maxSegLen,,,
mfcc,sma[4],minSegLen,,,
mfcc,sma[4],segLenStddev,,,
mfcc,sma[4],upleveltime25,,,
mfcc,sma[4],upleveltime50,,,
mfcc,sma[4],upleveltime75,,,
mfcc,sma[4],upleveltime90,,,
mfcc,sma[4],risetime,,,
mfcc,sma[4],leftctime,,,
mfcc,sma[4],lpgain,,,
mfcc,sma[4],lpc0,,,
mfcc,sma[4],lpc1,,,
mfcc,sma[4],lpc2,,,
mfcc,sma[4],lpc3,,,
mfcc,sma[4],lpc4,,,
mfcc,sma[5],range,,,
mfcc,sma[5],maxPos,,,
mfcc,sma[5],minPos,,,
mfcc,sma[5],quartile1,,,
mfcc,sma[5],quartile2,,,
mfcc,sma[5],quartile3,,,
mfcc,sma[5],iqr1-2,,,
mfcc,sma[5],iqr2-3,,,
mfcc,sma[5],iqr1-3,,,
mfcc,sma[5],percentile1.0,,,
mfcc,sma[5],percentile99.0,,,
mfcc,sma[5],pctlrange0-1,,,
mfcc,sma[5],stddev,,,
mfcc,sma[5],skewness,,,
mfcc,sma[5],kurtosis,,,
mfcc,sma[5],meanSegLen,,,
mfcc,sma[5],maxSegLen,,,
mfcc,sma[5],minSegLen,,,
mfcc,sma[5],segLenStddev,,,
mfcc,sma[5],upleveltime25,,,
mfcc,sma[5],upleveltime50,,,
mfcc,sma[5],upleveltime75,,,
mfcc,sma[5],upleveltime90,,,
mfcc,sma[5],risetime,,,
mfcc,sma[5],leftctime,,,
mfcc,sma[5],lpgain,,,
mfcc,sma[5],lpc0,,,
mfcc,sma[5],lpc1,,,
mfcc,sma[5],lpc2,,,
mfcc,sma[5],lpc3,,,
mfcc,sma[5],lpc4,,,
mfcc,sma[6],range,,,
mfcc,sma[6],maxPos,,,
mfcc,sma[6],minPos,,,
mfcc,sma[6],quartile1,,,
mfcc,sma[6],quartile2,,,
mfcc,sma[6],quartile3,,,
mfcc,sma[6],iqr1-2,,,
mfcc,sma[6],iqr2-3,,,
mfcc,sma[6],iqr1-3,,,
mfcc,sma[6],percentile1.0,,,
mfcc,sma[6],percentile99.0,,,
mfcc,sma[6],pctlrange0-1,,,
mfcc,sma[6],stddev,,,
mfcc,sma[6],skewness,,,
mfcc,sma[6],kurtosis,,,
mfcc,sma[6],meanSegLen,,,
mfcc,sma[6],maxSegLen,,,
mfcc,sma[6],minSegLen,,,
mfcc,sma[6],segLenStddev,,,
mfcc,sma[6],upleveltime25,,,
mfcc,sma[6],upleveltime50,,,
mfcc,sma[6],upleveltime75,,,
mfcc,sma[6],upleveltime90,,,
mfcc,sma[6],risetime,,,
mfcc,sma[6],leftctime,,,
mfcc,sma[6],lpgain,,,
mfcc,sma[6],lpc0,,,
mfcc,sma[6],lpc1,,,
mfcc,sma[6],lpc2,,,
mfcc,sma[6],lpc3,,,
mfcc,sma[6],lpc4,,,
mfcc,sma[7],range,,,
mfcc,sma[7],maxPos,,,
mfcc,sma[7],minPos,,,
mfcc,sma[7],quartile1,,,
mfcc,sma[7],quartile2,,,
mfcc,sma[7],quartile3,,,
mfcc,sma[7],iqr1-2,,,
mfcc,sma[7],iqr2-3,,,
mfcc,sma[7],iqr1-3,,,
mfcc,sma[7],percentile1.0,,,
mfcc,sma[7],percentile99.0,,,
mfcc,sma[7],pctlrange0-1,,,
mfcc,sma[7],stddev,,,
mfcc,sma[7],skewness,,,
mfcc,sma[7],kurtosis,,,
mfcc,sma[7],meanSegLen,,,
mfcc,sma[7],maxSegLen,,,
mfcc,sma[7],minSegLen,,,
mfcc,sma[7],segLenStddev,,,
mfcc,sma[7],upleveltime25,,,
mfcc,sma[7],upleveltime50,,,
mfcc,sma[7],upleveltime75,,,
mfcc,sma[7],upleveltime90,,,
mfcc,sma[7],risetime,,,
mfcc,sma[7],leftctime,,,
mfcc,sma[7],lpgain,,,
mfcc,sma[7],lpc0,,,
mfcc,sma[7],lpc1,,,
mfcc,sma[7],lpc2,,,
mfcc,sma[7],lpc3,,,
mfcc,sma[7],lpc4,,,
mfcc,sma[8],range,,,
mfcc,sma[8],maxPos,,,
mfcc,sma[8],minPos,,,
mfcc,sma[8],quartile1,,,
mfcc,sma[8],quartile2,,,
mfcc,sma[8],quartile3,,,
mfcc,sma[8],iqr1-2,,,
mfcc,sma[8],iqr2-3,,,
mfcc,sma[8],iqr1-3,,,
mfcc,sma[8],percentile1.0,,,
mfcc,sma[8],percentile99.0,,,
mfcc,sma[8],pctlrange0-1,,,
mfcc,sma[8],stddev,,,
mfcc,sma[8],skewness,,,
mfcc,sma[8],kurtosis,,,
mfcc,sma[8],meanSegLen,,,
mfcc,sma[8],maxSegLen,,,
mfcc,sma[8],minSegLen,,,
mfcc,sma[8],segLenStddev,,,
mfcc,sma[8],upleveltime25,,,
mfcc,sma[8],upleveltime50,,,
mfcc,sma[8],upleveltime75,,,
mfcc,sma[8],upleveltime90,,,
mfcc,sma[8],risetime,,,
mfcc,sma[8],leftctime,,,
mfcc,sma[8],lpgain,,,
mfcc,sma[8],lpc0,,,
mfcc,sma[8],lpc1,,,
mfcc,sma[8],lpc2,,,
mfcc,sma[8],lpc3,,,
mfcc,sma[8],lpc4,,,
mfcc,sma[9],range,,,
mfcc,sma[9],maxPos,,,
mfcc,sma[9],minPos,,,
mfcc,sma[9],quartile1,,,
mfcc,sma[9],quartile2,,,
mfcc,sma[9],quartile3,,,
mfcc,sma[9],iqr1-2,,,
mfcc,sma[9],iqr2-3,,,
mfcc,sma[9],iqr1-3,,,
mfcc,sma[9],percentile1.0,,,
mfcc,sma[9],percentile99.0,,,
mfcc,sma[9],pctlrange0-1,,,
mfcc,sma[9],stddev,,,
mfcc,sma[9],skewness,,,
mfcc,sma[9],kurtosis,,,
mfcc,sma[9],meanSegLen,,,
mfcc,sma[9],maxSegLen,,,
mfcc,sma[9],minSegLen,,,
mfcc,sma[9],segLenStddev,,,
mfcc,sma[9],upleveltime25,,,
mfcc,sma[9],upleveltime50,,,
mfcc,sma[9],upleveltime75,,,
mfcc,sma[9],upleveltime90,,,
mfcc,sma[9],risetime,,,
mfcc,sma[9],leftctime,,,
mfcc,sma[9],lpgain,,,
mfcc,sma[9],lpc0,,,
mfcc,sma[9],lpc1,,,
mfcc,sma[9],lpc2,,,
mfcc,sma[9],lpc3,,,
mfcc,sma[9],lpc4,,,
mfcc,sma[10],range,,,
mfcc,sma[10],maxPos,,,
mfcc,sma[10],minPos,,,
mfcc,sma[10],quartile1,,,
mfcc,sma[10],quartile2,,,
mfcc,sma[10],quartile3,,,
mfcc,sma[10],iqr1-2,,,
mfcc,sma[10],iqr2-3,,,
mfcc,sma[10],iqr1-3,,,
mfcc,sma[10],percentile1.0,,,
mfcc,sma[10],percentile99.0,,,
mfcc,sma[10],pctlrange0-1,,,
mfcc,sma[10],stddev,,,
mfcc,sma[10],skewness,,,
mfcc,sma[10],kurtosis,,,
mfcc,sma[10],meanSegLen,,,
mfcc,sma[10],maxSegLen,,,
mfcc,sma[10],minSegLen,,,
mfcc,sma[10],segLenStddev,,,
mfcc,sma[10],upleveltime25,,,
mfcc,sma[10],upleveltime50,,,
mfcc,sma[10],upleveltime75,,,
mfcc,sma[10],upleveltime90,,,
mfcc,sma[10],risetime,,,
mfcc,sma[10],leftctime,,,
mfcc,sma[10],lpgain,,,
mfcc,sma[10],lpc0,,,
mfcc,sma[10],lpc1,,,
mfcc,sma[10],lpc2,,,
mfcc,sma[10],lpc3,,,
mfcc,sma[10],lpc4,,,
mfcc,sma[11],range,,,
mfcc,sma[11],maxPos,,,
mfcc,sma[11],minPos,,,
mfcc,sma[11],quartile1,,,
mfcc,sma[11],quartile2,,,
mfcc,sma[11],quartile3,,,
mfcc,sma[11],iqr1-2,,,
mfcc,sma[11],iqr2-3,,,
mfcc,sma[11],iqr1-3,,,
mfcc,sma[11],percentile1.0,,,
mfcc,sma[11],percentile99.0,,,
mfcc,sma[11],pctlrange0-1,,,
mfcc,sma[11],stddev,,,
mfcc,sma[11],skewness,,,
mfcc,sma[11],kurtosis,,,
mfcc,sma[11],meanSegLen,,,
mfcc,sma[11],maxSegLen,,,
mfcc,sma[11],minSegLen,,,
mfcc,sma[11],segLenStddev,,,
mfcc,sma[11],upleveltime25,,,
mfcc,sma[11],upleveltime50,,,
mfcc,sma[11],upleveltime75,,,
mfcc,sma[11],upleveltime90,,,
mfcc,sma[11],risetime,,,
mfcc,sma[11],leftctime,,,
mfcc,sma[11],lpgain,,,
mfcc,sma[11],lpc0,,,
mfcc,sma[11],lpc1,,,
mfcc,sma[11],lpc2,,,
mfcc,sma[11],lpc3,,,
mfcc,sma[11],lpc4,,,
mfcc,sma[12],range,,,
mfcc,sma[12],maxPos,,,
mfcc,sma[12],minPos,,,
mfcc,sma[12],quartile1,,,
mfcc,sma[12],quartile2,,,
mfcc,sma[12],quartile3,,,
mfcc,sma[12],iqr1-2,,,
mfcc,sma[12],iqr2-3,,,
mfcc,sma[12],iqr1-3,,,
mfcc,sma[12],percentile1.0,,,
mfcc,sma[12],percentile99.0,,,
mfcc,sma[12],pctlrange0-1,,,
mfcc,sma[12],stddev,,,
mfcc,sma[12],skewness,,,
mfcc,sma[12],kurtosis,,,
mfcc,sma[12],meanSegLen,,,
mfcc,sma[12],maxSegLen,,,
mfcc,sma[12],minSegLen,,,
mfcc,sma[12],segLenStddev,,,
mfcc,sma[12],upleveltime25,,,
mfcc,sma[12],upleveltime50,,,
mfcc,sma[12],upleveltime75,,,
mfcc,sma[12],upleveltime90,,,
mfcc,sma[12],risetime,,,
mfcc,sma[12],leftctime,,,
mfcc,sma[12],lpgain,,,
mfcc,sma[12],lpc0,,,
mfcc,sma[12],lpc1,,,
mfcc,sma[12],lpc2,,,
mfcc,sma[12],lpc3,,,
mfcc,sma[12],lpc4,,,
mfcc,sma[13],range,,,
mfcc,sma[13],maxPos,,,
mfcc,sma[13],minPos,,,
mfcc,sma[13],quartile1,,,
mfcc,sma[13],quartile2,,,
mfcc,sma[13],quartile3,,,
mfcc,sma[13],iqr1-2,,,
mfcc,sma[13],iqr2-3,,,
mfcc,sma[13],iqr1-3,,,
mfcc,sma[13],percentile1.0,,,
mfcc,sma[13],percentile99.0,,,
mfcc,sma[13],pctlrange0-1,,,
mfcc,sma[13],stddev,,,
mfcc,sma[13],skewness,,,
mfcc,sma[13],kurtosis,,,
mfcc,sma[13],meanSegLen,,,
mfcc,sma[13],maxSegLen,,,
mfcc,sma[13],minSegLen,,,
mfcc,sma[13],segLenStddev,,,
mfcc,sma[13],upleveltime25,,,
mfcc,sma[13],upleveltime50,,,
mfcc,sma[13],upleveltime75,,,
mfcc,sma[13],upleveltime90,,,
mfcc,sma[13],risetime,,,
mfcc,sma[13],leftctime,,,
mfcc,sma[13],lpgain,,,
mfcc,sma[13],lpc0,,,
mfcc,sma[13],lpc1,,,
mfcc,sma[13],lpc2,,,
mfcc,sma[13],lpc3,,,
mfcc,sma[13],lpc4,,,
mfcc,sma[14],range,,,
mfcc,sma[14],maxPos,,,
mfcc,sma[14],minPos,,,
mfcc,sma[14],quartile1,,,
mfcc,sma[14],quartile2,,,
mfcc,sma[14],quartile3,,,
mfcc,sma[14],iqr1-2,,,
mfcc,sma[14],iqr2-3,,,
mfcc,sma[14],iqr1-3,,,
mfcc,sma[14],percentile1.0,,,
mfcc,sma[14],percentile99.0,,,
mfcc,sma[14],pctlrange0-1,,,
mfcc,sma[14],stddev,,,
mfcc,sma[14],skewness,,,
mfcc,sma[14],kurtosis,,,
mfcc,sma[14],meanSegLen,,,
mfcc,sma[14],maxSegLen,,,
mfcc,sma[14],minSegLen,,,
mfcc,sma[14],segLenStddev,,,
mfcc,sma[14],upleveltime25,,,
mfcc,sma[14],upleveltime50,,,
mfcc,sma[14],upleveltime75,,,
mfcc,sma[14],upleveltime90,,,
mfcc,sma[14],risetime,,,
mfcc,sma[14],leftctime,,,
mfcc,sma[14],lpgain,,,
mfcc,sma[14],lpc0,,,
mfcc,sma[14],lpc1,,,
mfcc,sma[14],lpc2,,,
mfcc,sma[14],lpc3,,,
mfcc,sma[14],lpc4,,,
audSpec,Rfilt,sma,de[0],range,
audSpec,Rfilt,sma,de[0],maxPos,
audSpec,Rfilt,sma,de[0],minPos,
audSpec,Rfilt,sma,de[0],quartile1,
audSpec,Rfilt,sma,de[0],quartile2,
audSpec,Rfilt,sma,de[0],quartile3,
audSpec,Rfilt,sma,de[0],iqr1-2,
audSpec,Rfilt,sma,de[0],iqr2-3,
audSpec,Rfilt,sma,de[0],iqr1-3,
audSpec,Rfilt,sma,de[0],percentile1.0,
audSpec,Rfilt,sma,de[0],percentile99.0,
audSpec,Rfilt,sma,de[0],pctlrange0-1,
audSpec,Rfilt,sma,de[0],stddev,
audSpec,Rfilt,sma,de[0],skewness,
audSpec,Rfilt,sma,de[0],kurtosis,
audSpec,Rfilt,sma,de[0],meanSegLen,
audSpec,Rfilt,sma,de[0],maxSegLen,
audSpec,Rfilt,sma,de[0],minSegLen,
audSpec,Rfilt,sma,de[0],segLenStddev,
audSpec,Rfilt,sma,de[0],upleveltime25,
audSpec,Rfilt,sma,de[0],upleveltime50,
audSpec,Rfilt,sma,de[0],upleveltime75,
audSpec,Rfilt,sma,de[0],upleveltime90,
audSpec,Rfilt,sma,de[0],risetime,
audSpec,Rfilt,sma,de[0],leftctime,
audSpec,Rfilt,sma,de[0],lpgain,
audSpec,Rfilt,sma,de[0],lpc0,
audSpec,Rfilt,sma,de[0],lpc1,
audSpec,Rfilt,sma,de[0],lpc2,
audSpec,Rfilt,sma,de[0],lpc3,
audSpec,Rfilt,sma,de[0],lpc4,
audSpec,Rfilt,sma,de[1],range,
audSpec,Rfilt,sma,de[1],maxPos,
audSpec,Rfilt,sma,de[1],minPos,
audSpec,Rfilt,sma,de[1],quartile1,
audSpec,Rfilt,sma,de[1],quartile2,
audSpec,Rfilt,sma,de[1],quartile3,
audSpec,Rfilt,sma,de[1],iqr1-2,
audSpec,Rfilt,sma,de[1],iqr2-3,
audSpec,Rfilt,sma,de[1],iqr1-3,
audSpec,Rfilt,sma,de[1],percentile1.0,
audSpec,Rfilt,sma,de[1],percentile99.0,
audSpec,Rfilt,sma,de[1],pctlrange0-1,
audSpec,Rfilt,sma,de[1],stddev,
audSpec,Rfilt,sma,de[1],skewness,
audSpec,Rfilt,sma,de[1],kurtosis,
audSpec,Rfilt,sma,de[1],meanSegLen,
audSpec,Rfilt,sma,de[1],maxSegLen,
audSpec,Rfilt,sma,de[1],minSegLen,
audSpec,Rfilt,sma,de[1],segLenStddev,
audSpec,Rfilt,sma,de[1],upleveltime25,
audSpec,Rfilt,sma,de[1],upleveltime50,
audSpec,Rfilt,sma,de[1],upleveltime75,
audSpec,Rfilt,sma,de[1],upleveltime90,
audSpec,Rfilt,sma,de[1],risetime,
audSpec,Rfilt,sma,de[1],leftctime,
audSpec,Rfilt,sma,de[1],lpgain,
audSpec,Rfilt,sma,de[1],lpc0,
audSpec,Rfilt,sma,de[1],lpc1,
audSpec,Rfilt,sma,de[1],lpc2,
audSpec,Rfilt,sma,de[1],lpc3,
audSpec,Rfilt,sma,de[1],lpc4,
audSpec,Rfilt,sma,de[2],range,
audSpec,Rfilt,sma,de[2],maxPos,
audSpec,Rfilt,sma,de[2],minPos,
audSpec,Rfilt,sma,de[2],quartile1,
audSpec,Rfilt,sma,de[2],quartile2,
audSpec,Rfilt,sma,de[2],quartile3,
audSpec,Rfilt,sma,de[2],iqr1-2,
audSpec,Rfilt,sma,de[2],iqr2-3,
audSpec,Rfilt,sma,de[2],iqr1-3,
audSpec,Rfilt,sma,de[2],percentile1.0,
audSpec,Rfilt,sma,de[2],percentile99.0,
audSpec,Rfilt,sma,de[2],pctlrange0-1,
audSpec,Rfilt,sma,de[2],stddev,
audSpec,Rfilt,sma,de[2],skewness,
audSpec,Rfilt,sma,de[2],kurtosis,
audSpec,Rfilt,sma,de[2],meanSegLen,
audSpec,Rfilt,sma,de[2],maxSegLen,
audSpec,Rfilt,sma,de[2],minSegLen,
audSpec,Rfilt,sma,de[2],segLenStddev,
audSpec,Rfilt,sma,de[2],upleveltime25,
audSpec,Rfilt,sma,de[2],upleveltime50,
audSpec,Rfilt,sma,de[2],upleveltime75,
audSpec,Rfilt,sma,de[2],upleveltime90,
audSpec,Rfilt,sma,de[2],risetime,
audSpec,Rfilt,sma,de[2],leftctime,
audSpec,Rfilt,sma,de[2],lpgain,
audSpec,Rfilt,sma,de[2],lpc0,
audSpec,Rfilt,sma,de[2],lpc1,
audSpec,Rfilt,sma,de[2],lpc2,
audSpec,Rfilt,sma,de[2],lpc3,
audSpec,Rfilt,sma,de[2],lpc4,
audSpec,Rfilt,sma,de[3],range,
audSpec,Rfilt,sma,de[3],maxPos,
audSpec,Rfilt,sma,de[3],minPos,
audSpec,Rfilt,sma,de[3],quartile1,
audSpec,Rfilt,sma,de[3],quartile2,
audSpec,Rfilt,sma,de[3],quartile3,
audSpec,Rfilt,sma,de[3],iqr1-2,
audSpec,Rfilt,sma,de[3],iqr2-3,
audSpec,Rfilt,sma,de[3],iqr1-3,
audSpec,Rfilt,sma,de[3],percentile1.0,
audSpec,Rfilt,sma,de[3],percentile99.0,
audSpec,Rfilt,sma,de[3],pctlrange0-1,
audSpec,Rfilt,sma,de[3],stddev,
audSpec,Rfilt,sma,de[3],skewness,
audSpec,Rfilt,sma,de[3],kurtosis,
audSpec,Rfilt,sma,de[3],meanSegLen,
audSpec,Rfilt,sma,de[3],maxSegLen,
audSpec,Rfilt,sma,de[3],minSegLen,
audSpec,Rfilt,sma,de[3],segLenStddev,
audSpec,Rfilt,sma,de[3],upleveltime25,
audSpec,Rfilt,sma,de[3],upleveltime50,
audSpec,Rfilt,sma,de[3],upleveltime75,
audSpec,Rfilt,sma,de[3],upleveltime90,
audSpec,Rfilt,sma,de[3],risetime,
audSpec,Rfilt,sma,de[3],leftctime,
audSpec,Rfilt,sma,de[3],lpgain,
audSpec,Rfilt,sma,de[3],lpc0,
audSpec,Rfilt,sma,de[3],lpc1,
audSpec,Rfilt,sma,de[3],lpc2,
audSpec,Rfilt,sma,de[3],lpc3,
audSpec,Rfilt,sma,de[3],lpc4,
audSpec,Rfilt,sma,de[4],range,
audSpec,Rfilt,sma,de[4],maxPos,
audSpec,Rfilt,sma,de[4],minPos,
audSpec,Rfilt,sma,de[4],quartile1,
audSpec,Rfilt,sma,de[4],quartile2,
audSpec,Rfilt,sma,de[4],quartile3,
audSpec,Rfilt,sma,de[4],iqr1-2,
audSpec,Rfilt,sma,de[4],iqr2-3,
audSpec,Rfilt,sma,de[4],iqr1-3,
audSpec,Rfilt,sma,de[4],percentile1.0,
audSpec,Rfilt,sma,de[4],percentile99.0,
audSpec,Rfilt,sma,de[4],pctlrange0-1,
audSpec,Rfilt,sma,de[4],stddev,
audSpec,Rfilt,sma,de[4],skewness,
audSpec,Rfilt,sma,de[4],kurtosis,
audSpec,Rfilt,sma,de[4],meanSegLen,
audSpec,Rfilt,sma,de[4],maxSegLen,
audSpec,Rfilt,sma,de[4],minSegLen,
audSpec,Rfilt,sma,de[4],segLenStddev,
audSpec,Rfilt,sma,de[4],upleveltime25,
audSpec,Rfilt,sma,de[4],upleveltime50,
audSpec,Rfilt,sma,de[4],upleveltime75,
audSpec,Rfilt,sma,de[4],upleveltime90,
audSpec,Rfilt,sma,de[4],risetime,
audSpec,Rfilt,sma,de[4],leftctime,
audSpec,Rfilt,sma,de[4],lpgain,
audSpec,Rfilt,sma,de[4],lpc0,
audSpec,Rfilt,sma,de[4],lpc1,
audSpec,Rfilt,sma,de[4],lpc2,
audSpec,Rfilt,sma,de[4],lpc3,
audSpec,Rfilt,sma,de[4],lpc4,
audSpec,Rfilt,sma,de[5],range,
audSpec,Rfilt,sma,de[5],maxPos,
audSpec,Rfilt,sma,de[5],minPos,
audSpec,Rfilt,sma,de[5],quartile1,
audSpec,Rfilt,sma,de[5],quartile2,
audSpec,Rfilt,sma,de[5],quartile3,
audSpec,Rfilt,sma,de[5],iqr1-2,
audSpec,Rfilt,sma,de[5],iqr2-3,
audSpec,Rfilt,sma,de[5],iqr1-3,
audSpec,Rfilt,sma,de[5],percentile1.0,
audSpec,Rfilt,sma,de[5],percentile99.0,
audSpec,Rfilt,sma,de[5],pctlrange0-1,
audSpec,Rfilt,sma,de[5],stddev,
audSpec,Rfilt,sma,de[5],skewness,
audSpec,Rfilt,sma,de[5],kurtosis,
audSpec,Rfilt,sma,de[5],meanSegLen,
audSpec,Rfilt,sma,de[5],maxSegLen,
audSpec,Rfilt,sma,de[5],minSegLen,
audSpec,Rfilt,sma,de[5],segLenStddev,
audSpec,Rfilt,sma,de[5],upleveltime25,
audSpec,Rfilt,sma,de[5],upleveltime50,
audSpec,Rfilt,sma,de[5],upleveltime75,
audSpec,Rfilt,sma,de[5],upleveltime90,
audSpec,Rfilt,sma,de[5],risetime,
audSpec,Rfilt,sma,de[5],leftctime,
audSpec,Rfilt,sma,de[5],lpgain,
audSpec,Rfilt,sma,de[5],lpc0,
audSpec,Rfilt,sma,de[5],lpc1,
audSpec,Rfilt,sma,de[5],lpc2,
audSpec,Rfilt,sma,de[5],lpc3,
audSpec,Rfilt,sma,de[5],lpc4,
audSpec,Rfilt,sma,de[6],range,
audSpec,Rfilt,sma,de[6],maxPos,
audSpec,Rfilt,sma,de[6],minPos,
audSpec,Rfilt,sma,de[6],quartile1,
audSpec,Rfilt,sma,de[6],quartile2,
audSpec,Rfilt,sma,de[6],quartile3,
audSpec,Rfilt,sma,de[6],iqr1-2,
audSpec,Rfilt,sma,de[6],iqr2-3,
audSpec,Rfilt,sma,de[6],iqr1-3,
audSpec,Rfilt,sma,de[6],percentile1.0,
audSpec,Rfilt,sma,de[6],percentile99.0,
audSpec,Rfilt,sma,de[6],pctlrange0-1,
audSpec,Rfilt,sma,de[6],stddev,
audSpec,Rfilt,sma,de[6],skewness,
audSpec,Rfilt,sma,de[6],kurtosis,
audSpec,Rfilt,sma,de[6],meanSegLen,
audSpec,Rfilt,sma,de[6],maxSegLen,
audSpec,Rfilt,sma,de[6],minSegLen,
audSpec,Rfilt,sma,de[6],segLenStddev,
audSpec,Rfilt,sma,de[6],upleveltime25,
audSpec,Rfilt,sma,de[6],upleveltime50,
audSpec,Rfilt,sma,de[6],upleveltime75,
audSpec,Rfilt,sma,de[6],upleveltime90,
audSpec,Rfilt,sma,de[6],risetime,
audSpec,Rfilt,sma,de[6],leftctime,
audSpec,Rfilt,sma,de[6],lpgain,
audSpec,Rfilt,sma,de[6],lpc0,
audSpec,Rfilt,sma,de[6],lpc1,
audSpec,Rfilt,sma,de[6],lpc2,
