filename,label,speaker,gender,duration,f0globalMean,f0globalSD,avgPauseLength,sound2silenceRatio,totalPauses
b10-I,i,B,m,2.168375,74.62924372727274,47.086390477572685,435.2941176470588,11.08108108108108,17
b103-N,n,B,m,1.62,106.48052671851855,49.33637709812786,650.0,24.923076923076923,4
b107-N,n,B,m,1.746625,66.68445128865979,52.5045180187176,650.0,26.846153846153847,4
b108-I,i,B,m,1.86325,109.97168307936508,66.97745895911734,1200.0,31.166666666666668,2
b11-I,i,B,m,2.3011875,78.82524783536583,48.620904312347456,453.3333333333333,12.911764705882353,15
b111-N,n,B,m,1.7886875,82.96885896341459,64.64916431086465,666.6666666666666,17.55,6
b114-I,i,B,m,1.938125,101.62323792086335,57.78993318401854,1300.0,29.846153846153847,2
b115-I,i,B,m,1.7886875,106.67577821167892,55.37467782590053,733.3333333333333,32.72727272727273,3
b117-I,i,B,m,2.162375,146.79623446153843,77.13984135039216,533.3333333333333,26.8125,6
b118-I,i,B,m,1.5645,87.38243763076926,38.93387400305164,1300.0,24.076923076923077,2
b127-N,n,B,m,1.58,111.04029862698411,59.93832680091656,950.0,16.31578947368421,4
b13-N,n,B,m,1.6155,75.03093171666669,42.19274505257634,550.0,29.545454545454547,4
b27-I,i,B,m,1.6844375,99.69911896799996,64.80443048637323,1300.0,25.923076923076923,2
b29-N,n,B,m,1.6219375,65.83500566037739,42.04577226539393,866.6666666666666,24.923076923076923,3
b33-I,i,B,m,2.0203125,109.88621559281442,50.34858498930733,480.0,33.75,5
b35-I,i,B,m,1.5500625,113.87493154736848,76.4743730085943,600.0,34.888888888888886,3
b36-N,n,B,m,1.8221875,57.86436459310342,29.75819746341852,516.6666666666666,11.161290322580646,12
b37-N,n,B,m,1.8441875,120.77364311678838,66.07040385398419,600.0,17.19047619047619,7
b39-N,n,B,m,1.5580625,94.06651866972476,52.297953734051866,600.0,26.083333333333332,4
b40-N,n,B,m,1.6190625,85.24878118115934,44.05731200841977,725.0,10.620689655172415,8
b49-N,n,B,m,2.025625,58.6322763081081,30.93222018530021,950.0,21.0,4
b5-N,n,B,m,2.1513125,66.17188402112674,41.06570995567733,650.0,33.07692307692308,4
b50-N,n,B,m,1.56375,85.86920722784802,66.258733702564,750.0,20.733333333333334,4
b52-N,n,B,m,1.942375,105.26990762666665,58.12373869907681,466.6666666666667,18.095238095238095,9
b61-I,i,B,m,2.033625,91.24551592258068,46.1782455619151,866.6666666666666,15.153846153846153,6
b65-N,n,B,m,1.87825,84.37731187837828,42.682006280034784,733.3333333333333,7.840909090909091,12
b68-I,i,B,m,1.49425,117.83363287500008,24.845542004886102,1000.0,19.8,3
b73-I,i,B,m,1.9578125,81.82133620261436,44.441761203101215,600.0,14.0,9
b88-I,i,B,m,1.957625,79.67288602083335,47.11889614402232,800.0,32.75,3
b90-I,i,B,m,1.5778125,98.68817346551728,54.15152798179771,640.0,19.5625,5
g10-N,n,G,f,2.2211875,195.6821988837209,128.05721275892026,1400.0,31.642857142857142,2
g13-I,i,G,f,2.6249375,252.0063827200002,157.70881571259594,600.0,34.86666666666667,5
g17-I,i,G,f,2.653625,332.04358793902475,214.3265594339606,1100.0,48.45454545454545,2
g18-I,i,G,f,1.3994375,229.5534894040405,129.6723136794617,866.6666666666666,21.53846153846154,3
g21-I,i,G,f,1.25,267.6595401111112,180.0226266828959,1200.0,13.61111111111111,3
