inputID,measures,speakerDependentPrecision_N,speakerDependentPrecision_I,speakerDependentRecall_N,speakerDependentRecall_I,speakerDependentF1_N,speakerDependentF1_I,speakerDependentAccuracy,oldSplitPrecision_N,oldSplitPrecision_I,oldSplitRecall_N,oldSplitRecall_I,oldSplitF1_N,oldSplitF1_I,oldSplitAccuracy,newSplitPrecision_N,newSplitPrecision_I,newSplitRecall_N,newSplitRecall_I,newSplitF1_N,newSplitF1_I,newSplitAccuracy
ComParE_percentChunks_text,"f0, plp",0.69389401,0.76563467,0.78185378,0.60284555,0.72148156,0.60633222,0.6923441216037223,0.59032789,0.48751123,0.65307588,0.58952867,0.59539479,0.49512061,0.6171676733157304,0.63257275,0.63072019,0.83752259,0.39955426,0.71788644,0.48003447,0.6477458819179402
ComParE_percentChunks_text,"f0, hnr, mfcc",0.65818209,0.72333392,0.78625903,0.56117844,0.70921397,0.61076232,0.673784488155299,0.64381844,0.53876909,0.72730167,0.51808226,0.67080838,0.48729877,0.6519091092782725,0.6874743,0.68094473,0.77443456,0.58009602,0.72620267,0.62369411,0.6910033273948459
ComParE_percentChunks_text,"f0, hnr, plp",0.63839168,0.59030038,0.82203098,0.48625666,0.70702506,0.52538761,0.6541896365710971,0.65648949,0.56464792,0.70729267,0.56814435,0.66105592,0.483368,0.6307916946899222,0.65378715,0.64455803,0.80973637,0.45321873,0.72180181,0.520252,0.6669820689653878
ComParE_percentChunks_text,hnr,0.63267905,0.60976674,0.8479343,0.43783322,0.70899242,0.46442966,0.6428108207304096,0.54615985,0.57731638,0.71586744,0.49971359,0.60293932,0.44106228,0.5806313366515293,0.6596872,0.66257769,0.8022914,0.50150588,0.72155934,0.56817925,0.6684384443559742
ComParE_percentChunks_text,"hnr, mfcc",0.67893286,0.71037748,0.76458648,0.60147157,0.7104311,0.63267822,0.6830808802092043,0.61023702,0.55352764,0.60931229,0.65233406,0.58534204,0.55853526,0.6380932560122119,0.68735156,0.67975952,0.77769625,0.58102505,0.72771727,0.62469074,0.6898755194034927
ComParE_percentChunks_text,"hnr, plp",0.49260227,0.49654116,0.67989957,0.50946644,0.55814525,0.46085649,0.5946646677608357,0.70279999,0.52314,0.80791066,0.45948716,0.73327097,0.46771282,0.6747976336239603,0.69479568,0.67759895,0.76137792,0.60718446,0.7248281,0.63906601,0.693613349619513
ComParE_percentChunks_text,"hnr, mfcc, plp",0.6810868,0.7679964,0.80796056,0.58941391,0.73020732,0.63450559,0.6987155599427559,0.72304224,0.59966531,0.73604122,0.53131129,0.69548191,0.48719387,0.6569340625196993,0.65133795,0.67507117,0.82595675,0.44863818,0.71849785,0.49977128,0.654828676471028
ComParE_percentChunks_text,mfcc,0.6764153,0.69650267,0.76635201,0.57930574,0.70405134,0.600081,0.6727599255886092,0.58351783,0.54811146,0.63532146,0.63780139,0.59870396,0.54010915,0.6111358234131603,0.6380395,0.65847956,0.81978742,0.44053688,0.71629134,0.52614038,0.6539866259602164
ComParE_percentChunks_text,"mfcc, plp",0.70436645,0.72868471,0.71707093,0.649355,0.67496819,0.66111577,0.683242933655763,0.63795961,0.50737353,0.73182771,0.54673032,0.66199763,0.47571926,0.616372806422093,0.64849804,0.64554027,0.80962384,0.44634884,0.71651001,0.512914,0.6590571019326286
ComParE_percentChunks_text,plp,0.70709126,0.69671151,0.75526613,0.62696205,0.71348044,0.61825248,0.6911810366388784,0.63366929,0.59844663,0.73833815,0.55749556,0.66706568,0.522821,0.6328852298209865,0.63667492,0.44635628,0.81197958,0.39612069,0.68557382,0.40820583,0.5997211016485585
ComParE_percentChunks_text,f0,0.53242399,0.54655,0.65172206,0.61976862,0.57282387,0.56282121,0.6357219074060645,0.66564891,0.53653639,0.69526213,0.49414151,0.64099283,0.42663331,0.636862912678962,0.6873576,0.64569691,0.74033348,0.59368225,0.70822502,0.61057187,0.6731566618776663
PCs_percentChunks_text,"f0, hnr",0.72160812,0.68604358,0.65415595,0.74637046,0.68410748,0.71340614,0.7002788207244899,0.7155593,0.52770879,0.66273936,0.61916821,0.67051971,0.53969822,0.6410581539388351,0.70363045,0.64001398,0.68665086,0.66619937,0.69216788,0.64988082,0.6774991580242755
PCs_percentChunks_text,"f0, mfcc",0.73241155,0.73046079,0.72574126,0.73329844,0.72756478,0.73033557,0.72952524999889,0.74424489,0.61276177,0.77062675,0.60817802,0.750246,0.58827858,0.7184484685669595,0.68679142,0.68820171,0.78432643,0.580471,0.72690553,0.62434794,0.6872030265627247
PCs_percentChunks_text,"f0, plp",0.72719544,0.73200437,0.73227342,0.72232,0.72773557,0.72538601,0.7272881724663055,0.71518594,0.58760615,0.77507534,0.55419363,0.7289035,0.5436729,0.6770321528736831,0.72010922,0.67040476,0.71076084,0.657875,0.70827054,0.65076387,0.6976810539685498
PCs_percentChunks_text,"f0, hnr, mfcc",0.74498609,0.73390158,0.72162819,0.744038,0.72833636,0.73319574,0.7327982856373289,0.75425102,0.62232753,0.77327277,0.62769944,0.75549271,0.60711443,0.727452150134666,0.69619628,0.65512258,0.73846495,0.60225011,0.71511242,0.62357764,0.6883070728648757
PCs_percentChunks_text,"f0, hnr, plp",0.75263677,0.70945113,0.67925132,0.77079866,0.71028002,0.73621698,0.7250502069696302,0.71269893,0.57153186,0.76737904,0.52641751,0.73022974,0.53514397,0.6888469787582084,0.69807416,0.680142,0.76200119,0.605622,0.72336,0.63315431,0.6914708061586543
