inputID,measures,speakerDependentPrecision_N,speakerDependentPrecision_I,speakerDependentRecall_N,speakerDependentRecall_I,speakerDependentF1_N,speakerDependentF1_I,speakerDependentAccuracy,oldSplitPrecision_N,oldSplitPrecision_I,oldSplitRecall_N,oldSplitRecall_I,oldSplitF1_N,oldSplitF1_I,oldSplitAccuracy,newSplitPrecision_N,newSplitPrecision_I,newSplitRecall_N,newSplitRecall_I,newSplitF1_N,newSplitF1_I,newSplitAccuracy
percentChunks_text,"hnr, mfcc, plp",0.75249493,0.715331,0.68889816,0.769083,0.71621493,0.73877505,0.7290130427125527,0.72959838,0.60462471,0.7696998,0.56808676,0.72633436,0.55476011,0.6862093091905429,0.68916784,0.68103345,0.76638308,0.58781124,0.72358785,0.62704084,0.6922171960148635
percentChunks_text,mfcc,0.72674322,0.72326538,0.71918188,0.72813847,0.7218385,0.7246465,0.7236738626289952,0.74180069,0.60972551,0.7415451,0.64365223,0.72695491,0.59907498,0.6984380002680018,0.70054939,0.676082,0.73396196,0.62056917,0.71191626,0.63675827,0.6914626357437883
percentChunks_text,"mfcc, plp",0.73753466,0.72202766,0.71095694,0.73579088,0.71949351,0.72268378,0.7233371762445927,0.74467413,0.59766834,0.72367124,0.65294244,0.72503481,0.60616868,0.7020015020650052,0.71109442,0.63975276,0.68714531,0.66929816,0.69813103,0.65301847,0.6849627954278557
percentChunks_text,plp,0.71394381,0.74678703,0.76117312,0.68994505,0.73408784,0.71406,0.7255664100943758,0.74446254,0.61245915,0.76399377,0.613676,0.73565566,0.58455925,0.7016055337509967,0.68971592,0.670035,0.7490086,0.59721803,0.7106042,0.62244985,0.6796921387553849
percentChunks_text,f0,0.68014717,0.69881964,0.71232204,0.66380515,0.69501237,0.67995614,0.6880564389976069,0.74815146,0.54582964,0.65336046,0.69011454,0.68343087,0.58379674,0.6594120783497167,0.69710606,0.63763515,0.66831747,0.64623373,0.65815764,0.62075326,0.6504570310885653
ComParE_percentChunks,"f0, hnr",0.37196699,0.50525346,0.42306368,0.59656417,0.30748729,0.40436655,0.5099743526371794,0.32712273,0.27883902,0.46199744,0.57851576,0.31678953,0.29935825,0.37297508945260566,0.4435014,0.55806033,0.56640307,0.58322951,0.49497156,0.52050402,0.5465866886179263
ComParE_percentChunks,"f0, mfcc",0.43775515,0.59537689,0.32977625,0.80860703,0.29706215,0.64084077,0.569188090033639,0.62351915,0.45569127,0.7190441,0.41959211,0.60362356,0.37560339,0.5963109722697152,0.68154202,0.63870253,0.72308693,0.60106842,0.69864607,0.61675674,0.6673569025235289
ComParE_percentChunks,"f0, plp",0.56963215,0.48524415,0.49569707,0.65552283,0.41500406,0.53491394,0.5755262297192701,0.55403934,0.43717245,0.66703312,0.49517064,0.54321547,0.37489409,0.5410151097625627,0.46625687,0.57782611,0.55223933,0.64445126,0.50248756,0.566696,0.567413966552049
ComParE_percentChunks,"f0, hnr, mfcc",0.68123727,0.66292576,0.65891253,0.54408799,0.55348886,0.545222,0.6015095389542446,0.54595029,0.48899789,0.72222964,0.450857,0.60970261,0.414475,0.6003386777646427,0.44388574,0.58077108,0.60344388,0.55429051,0.51062308,0.50692044,0.5559837381189586
ComParE_percentChunks,"f0, hnr, plp",0.52401685,0.51855048,0.61456844,0.62763691,0.55246312,0.55627574,0.621099950717993,0.41246262,0.48336408,0.51219747,0.60195501,0.4435313,0.44031337,0.5073704588213438,0.6133579,0.64856101,0.83211239,0.30951608,0.69676718,0.34618281,0.6279040558585592
ComParE_percentChunks,hnr,0.60130227,0.41860203,0.83511247,0.38225716,0.68388697,0.39905616,0.6087550299465889,0.20639079,0.27388688,0.34259259,0.66562592,0.20296783,0.288831,0.3228937191876758,0.10026042,0.30591318,0.25,0.75,0.14312268,0.43400588,0.4061735939751493
ComParE_percentChunks,"hnr, mfcc",0.61044785,0.72894184,0.79148523,0.45393829,0.67924019,0.49739251,0.6226797868294207,0.4927929,0.50472317,0.59207039,0.55418451,0.52091837,0.44418864,0.5518806455116787,0.45934542,0.60566659,0.60931306,0.54362093,0.5179508,0.48402885,0.5757215078054193
ComParE_percentChunks,"hnr, plp",0.34273333,0.46372341,0.51807229,0.57686534,0.40506422,0.46694007,0.5473259701377675,0.36355487,0.50313997,0.49215398,0.65351627,0.40902073,0.46687358,0.5050439854377763,0.63294355,0.61807482,0.75964006,0.46779282,0.69035613,0.53131075,0.639816033936784
ComParE_percentChunks,"hnr, mfcc, plp",0.36511839,0.61691681,0.4902396,0.67056799,0.41641029,0.58867,0.5805294633885005,0.68025775,0.55116602,0.84262236,0.38575445,0.74423219,0.43308853,0.6888488863357214,0.44228981,0.57362727,0.63203093,0.48465381,0.51364443,0.45696951,0.5539163373733739
ComParE_percentChunks,mfcc,0.6632601,0.66791291,0.67205198,0.60456317,0.63643676,0.59496156,0.6383144665629722,0.67166667,0.51950673,0.78159046,0.41316821,0.70808617,0.436135,0.6557893144940291,0.68008222,0.63585983,0.7235755,0.59424738,0.69893663,0.61261326,0.6672773170570341
ComParE_percentChunks,"mfcc, plp",0.61981867,0.56901738,0.81524034,0.45576592,0.69344027,0.49869351,0.6354197036271854,0.53062113,0.53382653,0.67871314,0.47779758,0.58562748,0.419236,0.5678514939321225,0.56457531,0.52522479,0.35053222,0.78138872,0.33749702,0.59541043,0.5365421696364534
