epoch,accuracy,loss,val_accuracy,val_loss
0,0.6946236491203308,0.5828473567962646,0.739242672920227,0.5261884927749634
1,0.7617204189300537,0.48659762740135193,0.7461273670196533,0.5120369791984558
2,0.8417204022407532,0.36960089206695557,0.759036123752594,0.5080274343490601
3,0.9083871245384216,0.22596049308776855,0.7521514892578125,0.6379844546318054
4,0.9498924612998962,0.1275913566350937,0.73838210105896,0.7743023037910461
5,0.9578494429588318,0.10984199494123459,0.7366609573364258,0.8243733048439026
6,0.9606451392173767,0.10503800213336945,0.7598967552185059,0.7713150382041931
7,0.9703226089477539,0.07652368396520615,0.73838210105896,0.9651464223861694
8,0.9819355010986328,0.05079466849565506,0.7323579788208008,1.0207895040512085
9,0.9793548583984375,0.0509011335670948,0.7254733443260193,1.3269567489624023
10,0.9776344299316406,0.06072717159986496,0.7366609573364258,1.0730781555175781
11,0.986236572265625,0.04275781288743019,0.7495697140693665,1.1297446489334106
12,0.987311840057373,0.03554468974471092,0.7358003258705139,1.2220040559768677
13,0.9903225898742676,0.026390835642814636,0.73838210105896,1.3784148693084717
14,0.991182804107666,0.0269929151982069,0.7504302859306335,1.3452882766723633
15,0.9939785003662109,0.018685482442378998,0.7555937767028809,1.3666008710861206
16,0.9879570007324219,0.02893090434372425,0.7469879388809204,1.3705557584762573
17,0.9918279647827148,0.023166900500655174,0.7358003258705139,1.5697669982910156
18,0.986236572265625,0.03708816319704056,0.7237521409988403,1.6155552864074707
