,Name,Speaker,Irony,parseltonguef0,reaperf0
0,PPep12_r104_I,R,i,273.509608462113,286.363647
1,PPep12_r104_I,R,i,271.6398668951525,286.363647
2,PPep12_r104_I,R,i,268.29771254729314,279.113922
3,PPep12_r104_I,R,i,nan,275.625
4,PPep12_r104_I,R,i,114.71068553815192,273.913055
5,PPep12_r104_I,R,i,113.77448375528748,275.625
6,PPep12_r104_I,R,i,113.54149877238928,277.35849
7,PPep12_r104_I,R,i,113.65877822483678,272.222229
8,PPep12_r104_I,R,i,113.94748103651999,262.5
9,PPep12_r104_I,R,i,114.41267564484359,227.31958
10,PPep12_r104_I,R,i,174.08566828551176,234.574463
11,PPep12_r104_I,R,i,175.55738160582274,234.574463
12,PPep12_r104_I,R,i,176.8632939473866,234.574463
13,PPep12_r104_I,R,i,177.76579219171938,220.5
14,PPep12_r104_I,R,i,178.07053238186836,326.666656
15,PPep12_r104_I,R,i,177.71491956681828,336.641235
16,PPep12_r104_I,R,i,176.91948536091206,336.641235
17,PPep12_r104_I,R,i,176.03536545094022,339.230774
18,PPep12_r104_I,R,i,175.21781478806778,350.0
19,PPep12_r104_I,R,i,174.4298414310194,341.860474
20,PPep12_r104_I,R,i,173.44693731625037,178.542511
21,PPep12_r104_I,R,i,171.8543079986498,190.086212
22,PPep12_r104_I,R,i,110.90749717394274,179.268295
23,PPep12_r104_I,R,i,111.1239854373085,175.697205
24,PPep12_r104_I,R,i,111.37920295308803,180.0
25,PPep12_r104_I,R,i,111.60946290118747,173.62204
26,PPep12_r104_I,R,i,111.8364158978602,170.930237
27,PPep12_r104_I,R,i,112.07920283438719,100.227272
28,PPep12_r104_I,R,i,112.33868937102078,100.227272
29,PPep12_r104_I,R,i,112.58332533087071,115.1436
30,PPep12_r104_I,R,i,112.77912934114958,115.1436
31,PPep12_r104_I,R,i,112.90860145797208,109.97506
32,PPep12_r104_I,R,i,112.97755674576399,109.97506
33,PPep12_r104_I,R,i,112.99838446165174,111.083122
34,PPep12_r104_I,R,i,112.98626569807936,111.083122
35,PPep12_r104_I,R,i,112.95311441443872,223.857864
36,PPep12_r104_I,R,i,112.90286968995171,223.857864
37,PPep12_r104_I,R,i,112.83143461367503,225.0
