speaker	G
avgWordDur	0.43152802793313744
avgVowelDur	0.11211001807702178
avgConsonantDur	0.08991004637792228
avgPauseDur	0.2170059868263473
N	0.08528455284552844
AA1	0.14352941176470582
T	0.08684931438356168
UW1	0.09949999999999996
AH0	0.07936619718309858
EH1	0.10055555555555556
D	0.08766233766233773
R	0.08641791044776118
S	0.1133009708737864
P	0.07482758620689661
SH	0.10428571428571425
L	0.12274193548387098
EY1	0.12625
HH	0.14310344827586213
AW1	0.18400000000000005
W	0.07160714285714287
AH1	0.1308163265306122
JH	0.07428571428571429
AO1	0.153
Z	0.09857142857142859
UH1	0.04727272727272727
Y	0.11911764705882355
AY1	0.14338461538461542
IH0	0.056086956521739055
K	0.0840845056338028
IH1	0.08339622641509431
V	0.06172413793103443
ER0	0.1364285714285714
M	0.0767164179104478
IY1	0.13214285714285712
DH	0.05705882352941179
CH	0.11833333333333328
OW1	0.20625000312499997
G	0.09095238095238097
B	0.05695652173913043
OY1	0.18333333333333338
AE1	0.1956410256410257
IY0	0.1127777777777777
TH	0.07562500000000005
IY2	0.05500000000000005
F	0.08433333333333332
AO2	0.07666666666666673
NG	0.09409090909090913
ER1	0.13
EY0	0.1200000000000001
IH2	0.07428571428571426
AE2	0.08999999999999986
AY2	0.13749999999999996
UW2	0.030000000000000027
UW0	0.030000000000000138
AE0	0.09000000000000008
EH0	0.03500000000000002
AY0	0.19
EH2	0.08500000000000002
AH2	0.07666666666666672
OW2	0.1900000000000004
AW0	0.1200000000000001
OW0	0.07999999999999996
