speaker	E
avgWordDur	0.3250468481027405
avgVowelDur	0.09208764298484608
avgConsonantDur	0.07531085921062201
avgPauseDur	0.08729729729729727
avgLaughDur	0.18000000000000016
AY1	0.1180487804878049
M	0.08974999999999998
IY1	0.09529411764705881
N	0.0750413223140497
F	0.07184210526315787
ER0	0.11035714285714289
W	0.06086956521739135
AH1	0.07647058823529418
AH0	0.051228070175438546
T	0.05623188405797099
S	0.09640000000000004
Z	0.09343749999999992
Y	0.09960000000000002
NG	0.09384615384615379
AE1	0.125
D	0.04650793650793649
DH	0.06371428571428571
IY0	0.13333333333333333
G	0.0533333333333333
V	0.06200000000000002
B	0.06428571428571425
IH1	0.06134615384615384
P	0.06666666666666658
EY1	0.12823529411764714
JH	0.06272727272727253
CH	0.1004166666666666
L	0.07596774193548379
AY0	0.0716666666666667
HH	0.07400000000000011
OW1	0.12249999999999993
EH1	0.08694444444444437
IH0	0.04500000000000005
K	0.07537037037037038
UW1	0.0835294117647058
R	0.07847457627118651
ER1	0.09250000000000004
AA1	0.085
TH	0.07666666666666665
AW1	0.17500000000000013
AY2	0.08999999999999986
AO1	0.07000000000000015
OW2	0.05500000000000005
AO0	0.044999999999999984
IH2	0.06699999999999987
UH1	0.03666666666666648
EH2	0.06499999999999995
EY2	0.08500000000000041
AA2	0.15333333333333302
SH	0.09499999999999997
OW0	0.21
AE0	0.040000000000000036
