speaker	C
avgWordDur	0.2855142750442046
avgVowelDur	0.08821930161341925
avgConsonantDur	0.06878208472203955
avgPauseDur	0.08260273972602739
avgLaughDur	0.30999999999999994
Y	0.09047619047619049
AE1	0.1335294117647059
D	0.04377777777777777
UW1	0.09090909090909095
W	0.0562962962962963
AA1	0.09615384615384613
N	0.04931034482758622
AH0	0.03795454545454547
B	0.05846153846153847
IY0	0.09461538461538463
JH	0.093
AE2	0.10333333333333326
P	0.058125000000000066
IY1	0.09499999999999992
Z	0.07999999999999999
T	0.04835820895522387
V	0.04400000000000002
L	0.06818181818181816
AY1	0.0879411764705882
K	0.06717948717948721
S	0.08973684210526316
AH1	0.10500000000000004
F	0.05999999999999998
DH	0.03999999999999995
EY1	0.13399999999999998
OY1	0.08999999999999997
EH1	0.058823529411764705
R	0.07617647058823532
M	0.08157894736842099
AW1	0.19000000000000006
G	0.05944444444444444
EH2	0.10999999999999988
IH2	0.03500000000000002
AA2	0.0500000000000001
OW1	0.12999999999999998
IH1	0.05916666666666672
SH	0.1299999999999999
AO1	0.10444444444444452
ER0	0.0961111111111111
HH	0.07666666666666662
UH1	0.045999999999999985
UW2	0.029999999999999916
CH	0.07999999999999999
IH0	0.03999999999999998
TH	0.05250000000000004
ER1	0.1375
NG	0.06250000000000001
ZH	0.08500000000000019
OW2	0.04999999999999982
