speaker	R
avgWordDur	0.46632450899867267
avgVowelDur	0.11674499828051621
avgConsonantDur	0.08965858261854853
avgPauseDur	0.20304827572413794
SH	0.11119047619047626
EH1	0.12768115942028987
R	0.10280442804428044
S	0.10963483117977527
OW1	0.16860759493670885
L	0.11302127659574467
IH1	0.10181818128342245
AH0	0.11545627433460073
N	0.10228033472803351
T	0.09049618320610686
Z	0.11680851063829788
AA1	0.12016129032258066
K	0.09091503235294117
AE1	0.186231884057971
IH0	0.07587499999999997
ER0	0.14105263157894737
HH	0.1286
UW1	0.10187500000000003
EY1	0.1574436090225564
V	0.05944444444444447
D	0.0727881040892193
IY0	0.18313725490196078
OW0	0.12533333333333346
Y	0.11823129251700681
W	0.0746242774566474
IY1	0.15507936507936507
ER1	0.14689655172413787
P	0.06226027397260268
F	0.0705504587155963
B	0.05793478260869568
NG	0.10410256410256409
UH1	0.060571428571428526
AO1	0.1271604938271605
M	0.08421383647798743
AY1	0.15246835443037976
JH	0.062499999999999965
AH1	0.14241176470588235
DH	0.0506930693069307
ZH	0.07999999999999996
AH2	0.1325
G	0.07691588785046732
AY2	0.14249999999999996
UW0	0.12999999999999995
AY0	0.07400000000000007
AA2	0.13000000000000067
AO2	0.05000000000000001
IY2	0.07500000000000012
TH	0.10979591836734692
AE2	0.1725000000000001
AW1	0.1683720930232558
CH	0.10200000000000005
IH2	0.059166666666666715
OY1	0.1400000000000002
OW2	0.06799999999999998
AW2	0.10999999999999943
EH2	0.08999999999999993
AO0	0.04250000000000004
AW0	0.030000000000000693
EH0	0.1200000000000001
EY2	0.18600000000000017
AE0	0.23999999999999932
OY2	0.030000000000000027
EY0	0.0600000000000005
ER2	0.029999999999999805
