speaker	P
avgWordDur	0.4951970579284021
avgVowelDur	0.12996412191070578
avgConsonantDur	0.11276068252380686
avgPauseDur	0.5070781905349794
W	0.06516666666666666
EY1	0.14631578947368426
K	0.15352940980392163
AH1	0.13945945945945948
P	0.06846153846153843
N	0.2000000008928571
OW1	0.2255555555555556
AY1	0.1691176470588235
AE1	0.1737837837837838
T	0.17284482844827592
HH	0.3211111111111112
IH1	0.11282051282051289
CH	0.10571428571428573
Y	0.17527777777777773
EH1	0.1694202884057971
S	0.11855555555555555
AO1	0.16066666666666662
R	0.1530882352941176
AH0	0.111588785046729
L	0.1688333316666667
M	0.06083333333333336
AA1	0.14799999999999996
IY0	0.24192307692307685
G	0.047368421052631574
B	0.05823529411764709
F	0.0561764705882353
UH1	0.09000000000000007
D	0.09686274313725496
AW1	0.15941176470588236
V	0.046764705882352924
ER0	0.11500000000000003
IH2	0.06363636363636363
IY1	0.17519999999999997
AA2	0.14500000000000024
UW1	0.06565217391304347
SH	0.10181818181818175
Z	0.11577777777777772
DH	0.042631578947368395
AO2	0.12
UW0	0.13000000000000012
JH	0.08333333333333341
TH	0.07500000000000002
AY2	0.02999999999999936
IH0	0.06749999500000006
NG	0.10611111666666664
OW0	0.07400000000000014
ER1	0.13153846153846144
AH2	0.04999999999999988
EY2	0.08999999999999986
AE2	0.25
OY1	0.12333333333333331
EH2	0.16999999999999993
OW2	0.050000000000000044
