speaker	B
avgWordDur	0.5605581483392659
avgVowelDur	0.13498047554611414
avgConsonantDur	0.10612739398664697
avgPauseDur	0.24879464285714287
AY1	0.2081081081081081
D	0.1934615384615384
OW1	0.2141666666666667
N	0.08793388429752066
S	0.15069767325581396
W	0.07183673469387758
IH1	0.115
NG	0.05529411764705885
ER0	0.10750000000000001
P	0.05097560975609757
AA1	0.18
R	0.11492753623188408
T	0.13465346435643563
IY0	0.17875000000000005
AE1	0.14516129032258066
V	0.046666666666666634
IH0	0.04923076923076926
TH	0.042857142857142885
K	0.07692307692307693
DH	0.0580645161290322
AH0	0.13676258992805757
Z	0.16490566037735846
M	0.07553191489361702
EH1	0.22113207547169808
G	0.07687499999999996
B	0.04079999999999998
IY1	0.125
JH	0.07000000000000005
Y	0.24857143142857138
UW0	0.125
EH2	0.085
HH	0.22515151515151513
OW0	0.10500000000000001
L	0.15068493150684933
EY1	0.1416666666666667
CH	0.11285714285714286
F	0.06411764705882353
AO1	0.13523809523809524
AH1	0.13205128205128205
ER1	0.13874999999999998
UH1	0.1225
AO2	0.21999999999999997
UW1	0.15421053157894737
SH	0.12714285714285725
AW1	0.22250000000000014
OY2	0.030000000000000027
AE2	0.19999999999999982
EY2	0.16000000000000014
IH2	0.04166666666666665
AY2	0.19999999999999996
AH2	0.029999999999999916
AY0	0.040000000000000036
AA2	0.18999999999999995
IY2	0.03000000000000025
