speaker	Y
avgWordDur	0.510709390807605
avgVowelDur	0.12521911259632926
avgConsonantDur	0.14852196471938758
avgPauseDur	0.33305195000000004
AE1	0.18249999999999997
D	0.10363636363636362
S	0.13258620689655173
W	0.08439999999999996
IH1	0.1426923076923077
M	0.05652173913043478
T	0.09779411764705882
R	0.17218749999999994
AH1	0.08545454545454544
NG	0.07999999999999999
K	0.15772727500000003
JH	0.09
AH0	0.07671052631578949
N	0.08296875000000001
EY1	0.08400000000000006
EH1	0.1689473684210526
P	0.09000000000000002
SH	0.08999999999999997
L	0.2978787878787879
HH	0.20315789473684212
IY1	0.16583333333333336
F	0.04266666666666669
AO1	0.18058823529411766
AY2	0.1400000000000001
AY1	0.13959999999999997
DH	0.04631578947368422
IY0	0.12400000000000007
OW1	0.29692307692307696
B	0.1407692307692308
AA1	0.14800000000000005
Z	0.2138461576923076
G	0.07833333333333331
UH1	0.07999999999999997
CH	0.13818181818181816
Y	0.18999999999999997
UW1	0.10750000000000003
IH0	0.07166666666666667
TH	0.7333333000000001
OW0	0.12999998
ER1	0.125
V	0.07222222222222224
ZH	0.17000000000000004
AW1	0.26749999999999996
ER0	0.19400000000000012
EH2	0.03000000000000025
AA2	0.10000000000000002
UW2	0.03000000000000025
IH2	0.04499999999999996
OY1	0.08500000000000008
OW2	0.07000000000000006
EY0	0.10999999999999988
