speaker	D
avgWordDur	0.5052828042328044
avgVowelDur	0.11279817179397013
avgConsonantDur	0.11745337218349564
avgPauseDur	0.22393939393939402
W	0.08214285714285723
AH1	0.1575
T	0.13500000000000004
AY1	0.1109090909090909
AA1	0.109090909090909
N	0.0805882352941176
AH0	0.27380952380952384
B	0.09499999999999996
IY0	0.1418181818181818
K	0.13666666666666663
L	0.15
IH1	0.11117647058823527
R	0.06428571428571427
DH	0.057272727272727246
JH	0.07499999999999984
OW1	0.10428571428571436
S	0.11521739130434784
Z	0.09000000000000001
M	0.14714285714285724
EH1	0.1327272727272727
EY1	0.10333333333333344
SH	0.10333333333333333
Y	0.1953333333333334
P	0.08333333333333336
HH	0.14666666666666667
AE1	0.16111111111111107
V	0.09333333333333332
IH0	0.043333333333333356
NG	0.04000000000000001
F	0.12
UW1	0.09166666666666673
IY1	0.13199999999999998
D	0.11777777777777783
G	0.06000000000000005
OW0	0.13
AW1	0.126
ER0	0.07500000000000002
CH	0.09333333333333334
EH2	0.029999999999999805
IH2	0.07499999999999996
UW0	0.08000000000000007
TH	0.42000000000000015
OY1	0.1200000000000001
AE2	0.05999999999999994
