,Name,Speaker,Irony,parseltonguef0,reaperf0
0,PPep12_y10_I,Y,i,nan,NaN
1,PPep12_y10_I,Y,i,nan,NaN
2,PPep12_y10_I,Y,i,nan,NaN
3,PPep12_y10_I,Y,i,nan,NaN
4,PPep12_y10_I,Y,i,nan,NaN
5,PPep12_y10_I,Y,i,nan,NaN
6,PPep12_y10_I,Y,i,nan,NaN
7,PPep12_y10_I,Y,i,nan,NaN
8,PPep12_y10_I,Y,i,nan,NaN
9,PPep12_y10_I,Y,i,nan,NaN
10,PPep12_y10_I,Y,i,nan,NaN
11,PPep12_y10_I,Y,i,nan,NaN
12,PPep12_y10_I,Y,i,nan,NaN
13,PPep12_y10_I,Y,i,171.11485896602892,NaN
14,PPep12_y10_I,Y,i,171.33136597889757,NaN
15,PPep12_y10_I,Y,i,171.51602666828526,NaN
16,PPep12_y10_I,Y,i,171.6794543591122,212.019226
17,PPep12_y10_I,Y,i,171.82289832710788,159.20578
18,PPep12_y10_I,Y,i,171.94660479537131,165.168533
19,PPep12_y10_I,Y,i,172.0455085174501,163.333328
20,PPep12_y10_I,Y,i,172.11446801840555,165.789474
21,PPep12_y10_I,Y,i,172.1465566624947,165.789474
22,PPep12_y10_I,Y,i,172.14398313642192,168.320618
23,PPep12_y10_I,Y,i,172.12696881610947,170.930237
24,PPep12_y10_I,Y,i,172.14155501180772,170.930237
25,PPep12_y10_I,Y,i,172.23568663631548,172.265625
26,PPep12_y10_I,Y,i,172.42096479783774,172.941177
27,PPep12_y10_I,Y,i,172.68649854969024,172.265625
28,PPep12_y10_I,Y,i,173.0380624774694,172.265625
29,PPep12_y10_I,Y,i,nan,110.25
30,PPep12_y10_I,Y,i,nan,172.941177
31,PPep12_y10_I,Y,i,nan,172.941177
32,PPep12_y10_I,Y,i,nan,171.595337
33,PPep12_y10_I,Y,i,nan,172.265625
34,PPep12_y10_I,Y,i,nan,171.595337
35,PPep12_y10_I,Y,i,nan,172.941177
36,PPep12_y10_I,Y,i,nan,172.265625
37,PPep12_y10_I,Y,i,nan,172.265625
38,PPep12_y10_I,Y,i,nan,172.265625
39,PPep12_y10_I,Y,i,nan,NaN
40,PPep12_y10_I,Y,i,nan,NaN
41,PPep12_y10_I,Y,i,nan,NaN
42,PPep12_y10_I,Y,i,nan,NaN
43,PPep12_y10_I,Y,i,nan,NaN
44,PPep12_y10_I,Y,i,nan,NaN
45,PPep12_y10_I,Y,i,nan,NaN
46,PPep12_y10_I,Y,i,nan,NaN
47,PPep12_y10_I,Y,i,201.16105341605237,NaN
48,PPep12_y10_I,Y,i,201.08356809786764,NaN
49,PPep12_y10_I,Y,i,200.79922507931818,NaN
50,PPep12_y10_I,Y,i,200.33934189798237,NaN
