epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.8510301113128662,33875857408.0,0.8309859037399292,985882496.0
1,0.8510301113128662,9228941312.0,0.8309859037399292,729644608.0
2,0.8510301113128662,3538637056.0,0.8309859037399292,22112096.0
3,0.8510301113128662,401752672.0,0.8309859037399292,4094884.0
4,0.8510301113128662,237322.421875,0.8309859037399292,2739476.75
5,0.8510301113128662,27039.146484375,0.8309859037399292,2223971.0
6,0.8510301113128662,9123465.0,0.8309859037399292,2030775.625
7,0.8510301113128662,34316.78515625,0.8309859037399292,1957842.875
8,0.8510301113128662,0.6519917845726013,0.8309859037399292,1930690.875
9,0.8510301113128662,0.6486801505088806,0.8309859037399292,1920658.25
10,0.8510301113128662,0.6445841193199158,0.8309859037399292,1916970.625
11,0.8510301113128662,18990.712890625,0.8309859037399292,1915329.375
12,0.8510301113128662,0.6369910836219788,0.8309859037399292,1914711.375
13,0.8510301113128662,0.6313885450363159,0.8309859037399292,1914488.75
14,0.8510301113128662,184431.453125,0.8309859037399292,1912249.75
15,0.8510301113128662,0.6221193671226501,0.8309859037399292,1910145.375
16,0.8510301113128662,0.6189671158790588,0.8309859037399292,1909386.125
17,0.8510301113128662,19119.955078125,0.8309859037399292,1908747.5
18,0.8510301113128662,0.6125624179840088,0.8309859037399292,1908494.0
19,0.8510301113128662,0.605767011642456,0.8309859037399292,1908403.125
20,0.8510301113128662,32486.46875,0.8309859037399292,1907685.875
21,0.8510301113128662,0.6020124554634094,0.8309859037399292,1907385.5
22,0.8510301113128662,0.5964779257774353,0.8309859037399292,1907276.875
23,0.8510301113128662,20044.318359375,0.8309859037399292,1906818.0
24,0.8510301113128662,43489.23046875,0.8309859037399292,1905902.375
25,0.8510301113128662,0.5905629992485046,0.8309859037399292,1905163.25
26,0.8510301113128662,0.584818959236145,0.8309859037399292,1904900.25
27,0.8510301113128662,0.584785521030426,0.8309859037399292,1904806.25
28,0.8510301113128662,0.5806154608726501,0.8309859037399292,1904773.0
29,0.8510301113128662,0.5768490433692932,0.8309859037399292,1904761.75
30,0.8510301113128662,49962.578125,0.8309859037399292,1903534.25
31,0.8510301113128662,0.5690904855728149,0.8309859037399292,1902919.875
32,0.8510301113128662,0.5661975741386414,0.8309859037399292,1902702.375
33,0.8510301113128662,38407.3359375,0.8309859037399292,1901489.625
34,0.8510301113128662,0.5626858472824097,0.8309859037399292,1901058.75
35,0.8510301113128662,0.5547273755073547,0.8309859037399292,1900905.875
36,0.8510301113128662,0.5584076642990112,0.8309859037399292,1900852.0
37,0.8510301113128662,0.5562414526939392,0.8309859037399292,1900833.125
38,0.8510301113128662,0.5522357225418091,0.8309859037399292,1900826.375
39,0.8510301113128662,143506.375,0.8309859037399292,1898861.5
40,0.8510301113128662,0.5556672811508179,0.8309859037399292,1895392.5
41,0.8510301113128662,35376.875,0.8309859037399292,1893118.625
