fileName,speaker,label,PC1,PC2,PC3,logHNR_sma_de_linregc1,logHNR_sma_kurtosis,logHNR_sma_de_qregc1,F0final_sma_qregc3,F0final_sma_qregerrQ,audSpec_Rfilt_sma[24]_lpc0,audSpec_Rfilt_sma[23]_lpc0,jitterDDP_sma_qregerrQ,audspecRasta_lengthL1norm_sma_lpc0,audspecRasta_lengthL1norm_sma_upleveltime50,shimmerLocal_sma_de_qregc1,jitterDDP_sma_qregc3,F0final_sma_de_qregc1,F0final_sma_de_qregc2
SBep16_d456-I,d,I,-3966.65273925156,-13.226498066473342,4.723425952618945,0.26465775661980956,-0.3569554214445078,-0.15484060664766894,0.19000612353399013,0.15599865527365314,-0.8487546910657259,-1.1915737036623844,0.1946701155005117,-0.2988765684648979,-0.7178358058578547,-0.049550633520357164,0.2611539462147119,-0.011057776858820638,-0.07403320639548208
SBep16_d63-I,d,I,-3966.157200172336,16.72498499962344,-5.018932758767245,0.05853731427037891,-0.3833082244777792,-0.04413255618491209,-1.2254679047608663,0.651398539956448,1.019804854509994,0.9072391921628907,1.4472519003577444,0.47599319110282007,-0.15637059154311267,-0.05579046730101625,-0.32463577749395833,-0.01984595796080571,0.3775435468202337
SBep3_d468-I,d,I,-3965.968614755423,29.5711876653372,-10.228903355382245,0.30306290131206975,0.07814388878716122,-0.19126146165895286,-0.9079957095665672,0.8400321044912336,0.8828585206937223,0.9687504722412218,0.7279324810010837,1.0532835710357193,1.379857966943828,-0.0507345403395299,1.4685721121374646,0.004586696751076454,-0.6803403341338369
SBep3_c899-I,c,I,-3967.9624999828684,31.03796747566438,-12.581154785232222,0.2117950400679887,0.693233582011256,-0.1324109399206627,1.3199735495438958,-1.1536792742134092,2.006642319663935,1.680081601190736,-0.4132012728406835,1.7023946748076437,0.3819990941492225,-0.05026671527305894,0.13278450939788156,-0.0118212772444162,0.013208485632680988
SBep27_c324-I,c,I,-3967.4374711663295,-11.485799646704983,2.726845790954093,0.28485484056666927,-0.30345933790436375,-0.16007135102060396,1.3000710370063384,-0.6286975373745661,0.20251325952696617,0.31566602489864565,-0.5198067629753069,0.6274238906322751,-0.5313636812804389,-0.04917212630362692,-0.6414558507397489,-0.012723039468617657,0.056688568033466315
SBep2_d431-N,d,N,-3966.6345517874934,-35.523616592207276,12.949906164779842,0.2704276228969796,-0.3990006959781451,-0.15777065986430486,1.234023497711758,0.1742882303439398,-1.69891549762868,-1.9258778577493019,0.5176327600541314,-1.5162330427832535,-0.8073004408405637,-0.049110476166525655,0.27361245209491725,-0.012806183494592933,0.07318018796481623
SBep21_s937-N,s,N,-3966.2774359514246,-6.99014022775067,2.0674888703214327,0.1764767455854394,0.01738585294818303,-0.1216778146609637,-0.9553106589321883,0.531190013370421,0.2485736334638168,0.03528778756652492,0.21195729698114604,0.059137589266578555,-0.40664033575304964,-0.048690120472547595,0.261819234252002,-0.014411478579807206,0.2066784996602315
SBep6_d518-I,d,I,-3966.8437053230537,-8.765791128782482,2.6054992799822063,0.2641625361945436,-0.3012375721689803,-0.1556794028813278,-0.6799990187843179,-0.03505221027141632,-0.010939446320435005,-0.12476740283947586,0.12274383471762332,-0.2928779814837558,-0.4557874361009254,-0.048675072115155635,-0.7268331220996522,-0.013560219857739851,0.14900220023294589
SBep21_d500-I,d,I,-3967.077442459107,-3.1453883470647646,1.477114868798152,0.20372992362295086,-0.34876318206674006,-0.12989223199916805,-0.06683137302112241,-0.26876151522533276,-0.26126373559655697,-0.295931366893073,0.6612430426912796,0.09714080244773025,0.7229607099434359,-0.050497939076988116,-0.193030072358025,-0.008778520124596127,-0.18845382446289835
SBep21_d1271-N,d,N,-3965.8946597468102,-21.986312707888157,6.949873777599989,0.28213873046846744,-0.39247269381608,-0.15992871315331877,-0.7529319090585349,0.9139565677597387,-0.40755185618057443,-0.2045774427633184,-0.18108475780652306,0.3893760930445477,-0.6782738842834328,-0.048951901972852874,-0.00477335052979557,-0.013387403853173437,0.1516375910079803
