,Name,Speaker,Irony,parseltonguef0,reaperf0
100,PPep12_p105_I,P,i,203.06794153978848,214.077667
101,PPep12_p105_I,P,i,202.46613385877816,214.077667
102,PPep12_p105_I,P,i,201.87713887799092,212.019226
103,PPep12_p105_I,P,i,201.38612547970402,209.004745
104,PPep12_p105_I,P,i,201.04793170129258,208.018875
105,PPep12_p105_I,P,i,200.87746786779695,222.72728
106,PPep12_p105_I,P,i,200.84676464584808,242.307693
107,PPep12_p105_I,P,i,200.91396621545888,204.166672
108,PPep12_p105_I,P,i,201.0420676121734,203.2258
109,PPep12_p105_I,P,i,201.2006525430902,201.369858
110,PPep12_p105_I,P,i,201.33440019564023,201.369858
111,PPep12_p105_I,P,i,201.3327187477851,202.293579
112,PPep12_p105_I,P,i,201.1456655403313,200.454544
113,PPep12_p105_I,P,i,200.87353913163489,200.454544
114,PPep12_p105_I,P,i,200.6424832871181,201.369858
115,PPep12_p105_I,P,i,200.4886042393999,201.369858
116,PPep12_p105_I,P,i,200.3623301824358,200.454544
117,PPep12_p105_I,P,i,200.15176474756004,200.454544
118,PPep12_p105_I,P,i,199.63599914713885,213.043472
119,PPep12_p105_I,P,i,198.80380630979954,193.421051
120,PPep12_p105_I,P,i,198.15371793839944,207.042252
121,PPep12_p105_I,P,i,197.81877584052836,200.454544
122,PPep12_p105_I,P,i,197.64766447226546,199.547516
123,PPep12_p105_I,P,i,197.5455730472125,198.648651
124,PPep12_p105_I,P,i,197.46977116613178,196.875
125,PPep12_p105_I,P,i,197.40424856560188,197.757843
126,PPep12_p105_I,P,i,197.34089716228294,200.454544
127,PPep12_p105_I,P,i,197.27653213315074,201.369858
128,PPep12_p105_I,P,i,197.2086844179909,200.454544
129,PPep12_p105_I,P,i,197.13770163495323,199.547516
130,PPep12_p105_I,P,i,197.06215023979038,198.648651
131,PPep12_p105_I,P,i,196.97787737206357,198.648651
132,PPep12_p105_I,P,i,196.87343465227823,196.875
133,PPep12_p105_I,P,i,196.73883257589438,196.875
134,PPep12_p105_I,P,i,nan,197.757843
135,PPep12_p105_I,P,i,nan,197.757843
136,PPep12_p105_I,P,i,nan,197.757843
137,PPep12_p105_I,P,i,nan,211.004791
138,PPep12_p105_I,P,i,nan,211.004791
139,PPep12_p105_I,P,i,nan,197.757843
140,PPep12_p105_I,P,i,nan,197.757843
141,PPep12_p105_I,P,i,nan,190.909088
142,PPep12_p105_I,P,i,nan,196.0
143,PPep12_p105_I,P,i,nan,NaN
144,PPep12_p105_I,P,i,nan,NaN
145,PPep12_p105_I,P,i,nan,NaN
146,PPep12_p105_I,P,i,nan,NaN
147,PPep12_p105_I,P,i,nan,NaN
148,PPep12_p105_I,P,i,nan,NaN
149,PPep12_p105_I,P,i,208.29189618128905,NaN
150,PPep12_p105_I,P,i,208.5923225165977,NaN
151,PPep12_p105_I,P,i,208.3858464514853,NaN
152,PPep12_p105_I,P,i,207.87951104361963,NaN
153,PPep12_p105_I,P,i,207.1668128338957,NaN
154,PPep12_p105_I,P,i,206.352099964382,NaN
155,PPep12_p105_I,P,i,205.55984393060075,NaN
156,PPep12_p105_I,P,i,204.84434848786518,NaN
157,PPep12_p105_I,P,i,204.21234716994567,NaN
158,PPep12_p105_I,P,i,203.62550811173577,NaN
159,PPep12_p105_I,P,i,203.05518595471727,NaN
160,PPep12_p105_I,P,i,202.4696731983645,NaN
161,PPep12_p105_I,P,i,201.85540260189617,210.0
162,PPep12_p105_I,P,i,201.1961054222697,211.004791
163,PPep12_p105_I,P,i,200.4945304757641,209.004745
164,PPep12_p105_I,P,i,199.7364487037534,208.018875
165,PPep12_p105_I,P,i,nan,206.074768
166,PPep12_p105_I,P,i,nan,227.31958
167,PPep12_p105_I,P,i,nan,204.166672
168,PPep12_p105_I,P,i,nan,204.166672
169,PPep12_p105_I,P,i,nan,204.166672
170,PPep12_p105_I,P,i,nan,202.293579
171,PPep12_p105_I,P,i,nan,200.454544
172,PPep12_p105_I,P,i,nan,199.547516
173,PPep12_p105_I,P,i,nan,198.648651
174,PPep12_p105_I,P,i,nan,197.757843
175,PPep12_p105_I,P,i,nan,207.042252
176,PPep12_p105_I,P,i,nan,206.074768
177,PPep12_p105_I,P,i,nan,206.074768
178,PPep12_p105_I,P,i,nan,190.086212
179,PPep12_p105_I,P,i,nan,186.075943
180,PPep12_p105_I,P,i,nan,186.075943
181,PPep12_p105_I,P,i,nan,164.552246
182,PPep12_p105_I,P,i,nan,185.294113
183,PPep12_p105_I,P,i,nan,NaN
184,PPep12_p105_I,P,i,nan,NaN
185,PPep12_p105_I,P,i,nan,NaN
186,PPep12_p105_I,P,i,nan,NaN
187,PPep12_p105_I,P,i,nan,NaN
188,PPep12_p105_I,P,i,nan,NaN
189,PPep12_p105_I,P,i,nan,NaN
190,PPep12_p105_I,P,i,200.74365537552654,NaN
191,PPep12_p105_I,P,i,199.05144032689515,NaN
192,PPep12_p105_I,P,i,195.93542935566433,NaN
193,PPep12_p105_I,P,i,193.13475116596894,NaN
194,PPep12_p105_I,P,i,190.29853335871377,NaN
195,PPep12_p105_I,P,i,188.50552501410766,NaN
196,PPep12_p105_I,P,i,187.31382785342487,NaN
197,PPep12_p105_I,P,i,186.41687318673382,NaN
198,PPep12_p105_I,P,i,185.6759489767919,NaN
199,PPep12_p105_I,P,i,185.0414680746475,NaN
200,PPep12_p105_I,P,i,184.4714274720345,NaN
201,PPep12_p105_I,P,i,183.93961102010962,NaN
202,PPep12_p105_I,P,i,183.41087255885725,NaN
203,PPep12_p105_I,P,i,182.86126487014974,NaN
204,PPep12_p105_I,P,i,182.2576854745249,196.875
205,PPep12_p105_I,P,i,362.8129068392457,190.909088
206,PPep12_p105_I,P,i,361.2894716063187,186.86441
207,PPep12_p105_I,P,i,359.5156047205515,185.294113
208,PPep12_p105_I,P,i,357.4757183460049,185.294113
209,PPep12_p105_I,P,i,355.2305567805603,185.294113
210,PPep12_p105_I,P,i,352.85714602226864,185.294113
211,PPep12_p105_I,P,i,350.49231432622076,184.518829
212,PPep12_p105_I,P,i,348.22971026984607,183.75
213,PPep12_p105_I,P,i,346.2558326477611,182.987549
214,PPep12_p105_I,P,i,345.04902656656435,182.2314
215,PPep12_p105_I,P,i,345.8663278168211,180.0
216,PPep12_p105_I,P,i,349.0745747268565,177.108429
217,PPep12_p105_I,P,i,351.92136197052827,172.941177
218,PPep12_p105_I,P,i,353.40234719176124,170.270264
219,PPep12_p105_I,P,i,354.13766555144116,137.8125
220,PPep12_p105_I,P,i,354.6764160244783,137.8125
221,PPep12_p105_I,P,i,355.2808187843509,115.1436
222,PPep12_p105_I,P,i,nan,115.1436
223,PPep12_p105_I,P,i,nan,103.764709
224,PPep12_p105_I,P,i,nan,103.764709
225,PPep12_p105_I,P,i,nan,73.622704
226,PPep12_p105_I,P,i,nan,73.622704
227,PPep12_p105_I,P,i,nan,66.515839
228,PPep12_p105_I,P,i,179.25619112717507,66.515839
229,PPep12_p105_I,P,i,179.0096911051121,66.515839
230,PPep12_p105_I,P,i,178.79329212391625,68.160744
231,PPep12_p105_I,P,i,178.4867915476052,68.160744
232,PPep12_p105_I,P,i,177.99500826632598,68.160744
233,PPep12_p105_I,P,i,177.02937049924165,68.90625
234,PPep12_p105_I,P,i,174.2382939587434,68.90625
235,PPep12_p105_I,P,i,173.2150126611544,68.90625
236,PPep12_p105_I,P,i,172.82206345906883,80.621574
237,PPep12_p105_I,P,i,nan,80.621574
238,PPep12_p105_I,P,i,345.60332046535615,80.621574
239,PPep12_p105_I,P,i,346.1570192299955,86.301369
240,PPep12_p105_I,P,i,347.23574634503956,86.301369
241,PPep12_p105_I,P,i,349.1791070211241,83.522728
242,PPep12_p105_I,P,i,370.2193185877954,83.522728
243,PPep12_p105_I,P,i,374.2654550371136,83.840302
244,PPep12_p105_I,P,i,377.19477351017673,83.840302
245,PPep12_p105_I,P,i,379.31718448695784,83.840302
246,PPep12_p105_I,P,i,380.5713181794179,88.023949
247,PPep12_p105_I,P,i,380.87285183040626,88.023949
248,PPep12_p105_I,P,i,380.2443118180392,85.299805
249,PPep12_p105_I,P,i,378.77326697894915,85.299805
250,PPep12_p105_I,P,i,376.4994058542753,84.0
251,PPep12_p105_I,P,i,373.16303021481633,84.0
252,PPep12_p105_I,P,i,355.2800143537849,84.0
253,PPep12_p105_I,P,i,350.8140118783999,83.681213
254,PPep12_p105_I,P,i,348.69612869854313,83.681213
255,PPep12_p105_I,P,i,347.14858788751724,84.160309
256,PPep12_p105_I,P,i,345.944572336094,84.160309
257,PPep12_p105_I,P,i,345.09223864672236,82.584267
258,PPep12_p105_I,P,i,nan,82.584267
259,PPep12_p105_I,P,i,nan,82.584267
260,PPep12_p105_I,P,i,nan,80.769234
261,PPep12_p105_I,P,i,nan,80.769234
262,PPep12_p105_I,P,i,nan,78.890877
263,PPep12_p105_I,P,i,nan,78.890877
264,PPep12_p105_I,P,i,nan,78.890877
265,PPep12_p105_I,P,i,nan,76.963348
266,PPep12_p105_I,P,i,nan,76.963348
267,PPep12_p105_I,P,i,nan,76.963348
268,PPep12_p105_I,P,i,nan,77.232925
269,PPep12_p105_I,P,i,nan,77.232925
270,PPep12_p105_I,P,i,nan,77.777779
271,PPep12_p105_I,P,i,nan,77.777779
272,PPep12_p105_I,P,i,nan,77.777779
273,PPep12_p105_I,P,i,nan,NaN
274,PPep12_p105_I,P,i,nan,NaN
275,PPep12_p105_I,P,i,nan,NaN
276,PPep12_p105_I,P,i,nan,NaN
277,PPep12_p105_I,P,i,nan,NaN
278,PPep12_p105_I,P,i,nan,NaN
279,PPep12_p105_I,P,i,nan,NaN
280,PPep12_p105_I,P,i,nan,NaN
281,PPep12_p105_I,P,i,nan,NaN
282,PPep12_p105_I,P,i,nan,NaN
283,PPep12_p105_I,P,i,nan,NaN
284,PPep12_p105_I,P,i,nan,NaN
285,PPep12_p105_I,P,i,nan,NaN
286,PPep12_p105_I,P,i,nan,NaN
287,PPep12_p105_I,P,i,nan,NaN
288,PPep12_p105_I,P,i,nan,NaN
289,PPep12_p105_I,P,i,nan,NaN
290,PPep12_p105_I,P,i,nan,NaN
291,PPep12_p105_I,P,i,nan,NaN
292,PPep12_p105_I,P,i,nan,NaN
293,PPep12_p105_I,P,i,nan,NaN
294,PPep12_p105_I,P,i,nan,NaN
295,PPep12_p105_I,P,i,nan,NaN
296,PPep12_p105_I,P,i,nan,NaN
297,PPep12_p105_I,P,i,nan,NaN
298,PPep12_p105_I,P,i,nan,NaN
299,PPep12_p105_I,P,i,nan,NaN
300,PPep12_p105_I,P,i,nan,NaN
301,PPep12_p105_I,P,i,nan,NaN
302,PPep12_p105_I,P,i,nan,NaN
303,PPep12_p105_I,P,i,nan,NaN
304,PPep12_p105_I,P,i,nan,NaN
305,PPep12_p105_I,P,i,nan,NaN
306,PPep12_p105_I,P,i,nan,NaN
307,PPep12_p105_I,P,i,nan,NaN
308,PPep12_p105_I,P,i,nan,NaN
309,PPep12_p105_I,P,i,nan,NaN
310,PPep12_p105_I,P,i,nan,NaN
311,PPep12_p105_I,P,i,nan,NaN
312,PPep12_p105_I,P,i,nan,NaN
313,PPep12_p105_I,P,i,nan,NaN
314,PPep12_p105_I,P,i,nan,NaN
315,PPep12_p105_I,P,i,nan,NaN
316,PPep12_p105_I,P,i,nan,NaN
317,PPep12_p105_I,P,i,nan,NaN
318,PPep12_p105_I,P,i,nan,NaN
319,PPep12_p105_I,P,i,nan,NaN
320,PPep12_p105_I,P,i,nan,NaN
321,PPep12_p105_I,P,i,nan,NaN
322,PPep12_p105_I,P,i,nan,NaN
323,PPep12_p105_I,P,i,nan,NaN
324,PPep12_p105_I,P,i,nan,NaN
325,PPep12_p105_I,P,i,nan,NaN
326,PPep12_p105_I,P,i,nan,NaN
327,PPep12_p105_I,P,i,nan,NaN
328,PPep12_p105_I,P,i,nan,NaN
