Feature,Welch Test Statistic,Welch p-Value,Levene Center Strategy,Levene Test Statistic,Levene p-Value,T Test Statistic,p-Value
duration,-14.28713687035864,3.670225589640431e-45,trimmed,733.8121898500375,3.752181851674306e-149,,
f0globalMean,14.155197145077478,1.42085253327663e-44,trimmed,1.297330199011201,0.2547660294096949,14.155197145077477,1.4166309222538065e-44
f0globalRange,7.633590916690946,2.762239759223142e-14,trimmed,201.099831779933,1.2504763732876414e-44,,
f0globalSD,7.104561115164863,1.3886411905864798e-12,trimmed,2.552708063965618,0.11018014712629998,7.104561115164863,1.3884803044179344e-12
f0globalMedian,6.773436653201587,1.4135669419252083e-11,trimmed,10.089022644688903,0.0015022883382915786,,
sound2silenceRatio,10.153054447978295,5.7105324160233146e-24,trimmed,27.6917448284836,1.4932170203943512e-07,,
totalPauses,-17.427969334203432,2.162436391149063e-65,trimmed,782.4319069863133,4.080323928770063e-158,,
hnrglobalMean,-6.880737017347844,6.738196701359864e-12,trimmed,3.4426309027955626,0.06360402806555461,-6.880737017347844,6.737454463475747e-12
hnrglobalRange,-6.276381707314347,3.785819672660624e-10,trimmed,79.62914408221542,6.603613072254481e-19,,
hnrglobalSD,-9.597504417295516,1.2930296865300555e-21,trimmed,1.1087887302842363,0.29240560532551146,-9.597504417295516,1.2918814054885425e-21
energyRange,-3.163379735302091,0.0015695117659905973,trimmed,37.799811043166486,8.563697560535328e-10,,
energySD,-8.565886878042555,1.435822162107591e-17,trimmed,0.301605205404484,0.5829068629939289,-8.565886878042555,1.4354209064716507e-17
Avg. Word Dur.,4.510877932838705,6.618564724553718e-06,trimmed,106.88402624144761,9.289476525415879e-25,,
Avg. Sil. Dur.,1.7611589266434002,0.07828303187739535,trimmed,36.63807648441957,1.5516226782690137e-09,,
Dynamic Range,-11.711729765138726,3.1731644906241006e-31,trimmed,375.25439533483916,3.660896305391276e-80,,
Energy,-14.345932613485473,1.642724574337695e-45,trimmed,733.1680287596018,4.938968515233561e-149,,
Intensity,-3.9993408844641434,6.451855018160972e-05,median,27.721965346925284,1.463158033399883e-07,,
ZCR,,,mean,,,,
