,PC1,PC2,PC3,PC4,PC5,PC6
Proportion of Variance,0.13044656265708177,0.12342440053299433,0.08790925689499873,0.07434179188857128,0.05793206808651844,0.05240149208729254
Cumulative Proportion,13.0,25.3,34.1,41.5,47.3,52.5
