Feature,Welch Test Statistic,Welch p-Value,Levene Center Strategy,Levene Test Statistic,Levene p-Value,T Test Statistic,p-Value
PC0,5.004880159414028,5.803487574298963e-07,median,87.3177594953868,1.3928937540815122e-20,,
PC1,17.565336856620178,6.042432328805234e-67,trimmed,1.1727670927659157,0.27889519062935864,17.565336856620178,6.037070453628574e-67
PC2,0.02941211732504718,0.9765371606341527,median,5.7547612057287445,0.01648280143928809,,
PC3,-7.7521017669316175,1.1007960677989668e-14,trimmed,0.013894132491987416,0.9061735917781277,-7.7521017669316175,1.100677559417197e-14
PC4,-3.597838635122508,0.0003241829732821025,median,0.07538566212675096,0.7836629295619516,-3.597838635122508,0.0003241792038495949
PC5,12.527092678978397,1.974905609702311e-35,median,6.841955146047341,0.008932639073102855,,
PC6,-7.894890956635937,3.591924632116957e-15,median,1.045340929139516,0.3066352466193124,-7.894890956635937,3.5905889623448615e-15
PC7,4.23483547578879,2.3311205357326624e-05,median,15.965221770288236,6.55055117756654e-05,,
PC8,1.387577213279569,0.1653334607861736,median,42.58444429321127,7.485063889020512e-11,,
PC9,-1.6216096100139379,0.10495449845996946,median,13.9628920361378,0.00018867060903209583,,
PC10,1.0542430656521522,0.29182593505474214,median,4.343929733014876,0.03719504673156996,,
PC11,5.7762073517309345,8.133362812091998e-09,median,0.15683665030162405,0.6921037936983826,5.7762073517309345,8.133138067577778e-09
PC12,-3.9770209207305087,7.08354753062185e-05,trimmed,25.600406470736328,4.377848677733196e-07,,
PC13,-0.25978205607267,0.7950434380507954,median,11.94673371771656,0.0005522869750256129,,
PC14,-2.81688158171207,0.00486989936869315,median,13.809935961331698,0.00020461817189080283,,
PC15,0.498138189976457,0.6184108546767957,median,3.524924149192135,0.06051455191945109,0.498138189976457,0.6184099820162602
PC16,-4.471866053195785,7.944268724994953e-06,median,26.028663221136608,3.496502454298614e-07,,
PC17,1.49103611376064,0.13602024326276455,median,22.379387987146558,2.3033040362026224e-06,,
PC18,6.799884767449708,1.1785151738747219e-11,median,6.824173505515935,0.009021874012278906,,
PC19,0.49964007987134085,0.617351976825761,median,2.129859385329219,0.14452092204386674,0.4996400798713408,0.6173519493948271
PC20,0.13846676539948494,0.8898775004630175,median,2.309174377981709,0.12867969720880298,0.13846676539948494,0.889877473510505
PC21,-5.45323694850489,5.2015729577911194e-08,median,9.995934907853625,0.0015788541720515006,,
PC22,5.523693063450434,3.4987772545361636e-08,median,0.2384219186961193,0.6253710268754817,5.523693063450434,3.498625516703511e-08
PC23,0.6507479356578999,0.5152421718882507,median,45.17943447803024,2.012434393232487e-11,,
PC24,-0.5583905636842911,0.5766043619979191,median,0.02728024264785735,0.8688194014435502,-0.5583905636842911,0.5766043480932513
PC25,1.7974135353147436,0.07233431430452855,median,12.28007010784953,0.0004620952353823134,,
PC26,-4.220690094525832,2.4816895504165685e-05,median,9.994711300875823,0.0015799013472047754,,
PC27,2.881210920236136,0.0039795909906015555,median,12.278443931674149,0.0004624970039267876,,
PC28,-0.4171450509993587,0.676591392559536,median,5.718558622204758,0.016825648919874855,,
PC29,2.2848005953114607,0.02236895823596977,median,1.70064384966235,0.19226774067394248,2.284800595311461,0.022368939725069596
