fileName,speaker,label,duration,f0globalMean,f0globalRange,f0globalSD,f0globalMedian,sound2silenceRatio,totalPauses,hnrglobalMean,hnrglobalRange,hnrglobalSD,rmsRange,rmsSD,Avg. Word Dur.,Avg. Sil. Dur.,Dynamic Range,Intensity,Consonant Vowel Ratio,SyllPerSecond,S_CoG,S_Kur,S_Ske,S_Std,SH_CoG,SH_Kur,SH_Ske,SH_Std,Z_CoG,Z_Kur,Z_Ske,Z_Std,V_CoG,V_Kur,V_Ske,V_Std,TH_CoG,TH_Kur,TH_Ske,TH_Std,F_CoG,F_Kur,F_Ske,F_Std,DH_CoG,DH_Kur,DH_Ske,DH_Std,HH_CoG,HH_Kur,HH_Ske,HH_Std,CH_CoG,CH_Kur,CH_Ske,CH_Std,JH_CoG,JH_Kur,JH_Ske,JH_Std,ZH_CoG,ZH_Kur,ZH_Ske,ZH_Std,K_VOT,P_VOT,T_VOT,D_VOT,B_VOT,G_VOT,Avg. Cons. Dur.,Avg. Voca. Dur.,L_F0,L_F1,L_F2,L_F3,M_F0,M_F1,M_F2,M_F3,N_F0,N_F1,N_F2,N_F3,W_F0,W_F1,W_F2,W_F3,R_F0,R_F1,R_F2,R_F3,NG_F0,NG_F1,NG_F2,NG_F3,Y_F0,Y_F1,Y_F2,Y_F3,EH2_F0,EH2_F1,EH2_F2,EH2_F3,AH0_F0,AH0_F1,AH0_F2,AH0_F3,EY1_F0,EY1_F1,EY1_F2,EY1_F3,OY2_F0,OY2_F1,OY2_F2,OY2_F3,OW1_F0,OW1_F1,OW1_F2,OW1_F3,AH1_F0,AH1_F1,AH1_F2,AH1_F3,EH1_F0,EH1_F1,EH1_F2,EH1_F3,IH1_F0,IH1_F1,IH1_F2,IH1_F3,AA1_F0,AA1_F1,AA1_F2,AA1_F3,AY1_F0,AY1_F1,AY1_F2,AY1_F3,ER0_F0,ER0_F1,ER0_F2,ER0_F3,AE1_F0,AE1_F1,AE1_F2,AE1_F3,AE2_F0,AE2_F1,AE2_F2,AE2_F3,AO1_F0,AO1_F1,AO1_F2,AO1_F3,IH0_F0,IH0_F1,IH0_F2,IH0_F3,IY2_F0,IY2_F1,IY2_F2,IY2_F3,IY1_F0,IY1_F1,IY1_F2,IY1_F3,UH1_F0,UH1_F1,UH1_F2,UH1_F3,IY0_F0,IY0_F1,IY0_F2,IY0_F3,OY1_F0,OY1_F1,OY1_F2,OY1_F3,OW2_F0,OW2_F1,OW2_F2,OW2_F3,UW1_F0,UW1_F1,UW1_F2,UW1_F3,IH2_F0,IH2_F1,IH2_F2,IH2_F3,EH0_F0,EH0_F1,EH0_F2,EH0_F3,AO2_F0,AO2_F1,AO2_F2,AO2_F3,AA0_F0,AA0_F1,AA0_F2,AA0_F3,AA2_F0,AA2_F1,AA2_F2,AA2_F3,OW0_F0,OW0_F1,OW0_F2,OW0_F3,EY0_F0,EY0_F1,EY0_F2,EY0_F3,AE0_F0,AE0_F1,AE0_F2,AE0_F3,AW2_F0,AW2_F1,AW2_F2,AW2_F3,AW1_F0,AW1_F1,AW1_F2,AW1_F3,EY2_F0,EY2_F1,EY2_F2,EY2_F3,UW0_F0,UW0_F1,UW0_F2,UW0_F3,AH2_F0,AH2_F1,AH2_F2,AH2_F3,UW2_F0,UW2_F1,UW2_F2,UW2_F3,AO0_F0,AO0_F1,AO0_F2,AO0_F3,AY2_F0,AY2_F1,AY2_F2,AY2_F3,ER1_F0,ER1_F1,ER1_F2,ER1_F3,UH2_F0,UH2_F1,UH2_F2,UH2_F3,AY0_F0,AY0_F1,AY0_F2,AY0_F3,ER2_F0,ER2_F1,ER2_F2,ER2_F3,OY0_F0,OY0_F1,OY0_F2,OY0_F3,UH0_F0,UH0_F1,UH0_F2,UH0_F3,AW0_F0,AW0_F1,AW0_F2,AW0_F3
SBep7_d242-N,d,N,9.9689375,107.57580180506123,387.8055258902525,73.93506299464998,90.24331918592762,10.15,67,10.56809217291064,33.88019308537889,8.613141434804346,0.26068158762546434,0.02930422669290014,-0.3733348264095369,0.5126482086591276,80.15880825375797,66.62167429068961,1.5952380952380951,4.213086901186812,0.29641689298040336,-1.0839629394344124,-0.9046885993316071,0.13032575701716934,-0.058452681049597624,-0.8483924981281068,-0.08951143560499153,0.14065841440756252,,,,,-0.20575104199161165,-0.6771813020011973,-0.33244218509506557,-0.07284187901548206,,,,,-0.23569196757711663,-0.5274495573179488,-0.1542148019880675,0.09547257578720922,-0.2008694236005775,-0.19157710033548514,-0.0377320537986153,-0.03272334310998072,-0.39035190737993375,-0.5721066454171739,-0.1288720122287574,-0.021258647849307123,0.1447062685091788,-1.0643814252468469,-0.4938034146238762,0.46957317336151444,-0.42982931438619654,-0.07062789436471834,0.15545220812453717,-0.29950969852731657,,,,,0.21926696745702706,0.12571106206241767,-0.33678825815619257,-0.427924289574081,0.06935506524398787,,-0.09118305344833948,0.3246925695000657,-0.3562112524506509,0.03181726243191661,-0.07236657402359756,-0.06606716776622996,-0.4109196661591763,-0.4214104957993015,0.027003027098849115,0.07169529822015111,-0.27819083264755423,0.4923839903667156,0.042760096876531276,0.09108200219869987,-0.33647677250430785,-0.07419889833575288,-0.4398840173327742,-0.13765777761227824,-0.38869166902379265,0.14363831791423246,-0.039381482628608945,-0.07117633899416936,,-0.4335854759517171,0.03835284527230274,-0.1735784645402966,-0.4432000078202172,-0.5283367199416898,-0.06012281674256295,-0.018648140207275097,,,,,-0.49832464752404915,0.02996174558014195,-0.019244868696402066,0.04710409783819663,-0.43167977362755566,-0.10025924295830077,-0.1014361067308562,-0.0536538116672169,,,,,-0.43796732958640133,0.1483324099589005,0.21863030455820653,0.005761743825688419,-0.026408187479979788,0.06180044787856391,0.02658472031711294,-0.06855285891412682,-0.43849947617572643,-0.006942779265819595,-0.041876198535521325,0.03644376812430272,1.4945742201938552,0.6025958722487357,-0.12594694228432834,-0.01862925881195354,-0.47941715371439336,-0.4017503106449135,-0.03525948456000724,-0.09541475254181205,-0.43247428563370216,-0.19215448624058332,-0.023147088001576062,-0.06298358291328081,-0.49382059007819845,-0.04334883749261723,-0.10946528750360332,-0.05445874077004495,-0.48812628219532045,-0.09631173353440456,-0.09007339181814626,-0.11455756306597355,,,,,,,,,,,,,,,,,-0.24740655346595186,-0.0683826017878351,-0.0676095590126871,0.015567131824233102,,,,,-0.4760881253489748,-0.4592694399723584,-0.03809278450900152,0.038535129974754494,,,,,,,,,-0.24095330373048193,-0.30028285325708476,0.02961323541841306,-0.07167742543342732,-0.44316677934002674,-0.2995247931648484,-0.09793533762792397,-0.04516773017894582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10758851581339927,0.03014704750661969,-0.015553809510545481,-0.03968198915165409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBep7_c561-I,c,I,1.64725,184.4862480291645,293.64187425387365,108.17215155037728,168.86802518119268,27.5,2,10.454669208566632,33.47154107434745,7.933683915290843,0.08311886211850594,0.021281782856009297,-0.19159089436025944,-0.540286717277243,69.71926910935863,66.7071661767514,1.2222222222222223,5.463651540446198,,,,,,,,,,,,,,,,,,,,,1.9597189428510298,-1.0136252171012416,-0.799403304278816,0.8236459133652151,,,,,,,,,1.0471885549956839,-1.0629557482071,-1.3889697727064032,0.29868666461175897,,,,,,,,,,,-0.6621374145324008,-0.4914882573991844,0.3948109546660723,,-0.4817983847827642,0.21466156173615786,0.05903010315704221,-0.2823078586346961,-0.002130313256031141,-0.06448498696415693,0.08833560344447446,-0.5488731089897535,0.08652338166468612,0.035132905316772926,0.44420916107963926,0.9269225272869674,0.3172370459817008,0.25845038614629373,,,,,0.5715791713149946,1.4013878858585078,0.0710308462231447,0.14733594852997142,,,,,,,,,,,,,0.5323555208612307,-0.4601810662411287,-0.22949202100256189,0.012942968676892869,,,,,,,,,-0.07330585416244154,-0.08763471444107312,-0.2797539642226116,0.10217381911356689,0.07054970071594564,-0.06917645868852618,-0.10438291597253678,0.1620199111642891,,,,,,,,,,,,,0.02166189303839945,-0.055804154308271584,0.10911406591285383,-0.09450340759897703,,,,,,,,,,,,,0.422249567555532,-0.031641869996965166,0.3608349076122098,0.060301363034732824,,,,,,,,,,,,,,,,,0.2488757588385632,0.6659371058694538,-0.04710020377445959,-0.0052885573391361585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBep7_c307-I,c,I,5.4485625,176.3753006868667,356.1745610998373,103.24888960510474,181.46995650740143,15.96923076923077,17,14.46586509421273,37.52339348371233,10.20262972644842,0.1218690203328141,0.028356152048139783,-0.3677476082581083,1.4518041745213741,76.31161460133603,66.66373505858105,1.5789473684210529,3.4871583101047285,1.054438999363356,-0.6839279979937666,-2.786071476888154,-0.02949066674116788,,,,,0.42404441192081255,-1.057972809765995,-0.7013964917697948,0.5391404611329035,-0.4413068707664511,-0.18724283623072788,0.14887310996985254,0.16432083786651316,,,,,-0.8220542026579505,0.5448308645075796,0.6833805251633093,-0.3838749073835325,-0.3127865349872791,0.7429281096872954,0.5554506398361523,-0.3316218326672281,-0.5250707034133462,1.9558406525992458,1.187788798859011,-0.3742150654138535,,,,,-0.21323871347038337,-0.769054757007296,-0.3266368803773784,0.08377558273691771,,,,,0.18539844058322702,,0.2613536524123678,-0.6186161930493911,-0.3025945226669637,,0.03922337527919048,0.1332966724332576,0.09323784784182985,-0.19762851668928375,-0.3602207981905436,-0.030729557743038562,,,,,0.020966157425036908,-0.2798191333054048,-0.13371981306126268,0.011159373547720616,-0.04947520742682425,-0.3329351557163612,-0.17244570234638007,-0.10353174313241731,0.11541247457962268,-0.16428957709955275,0.04238181400699215,-0.13203068973892712,,,,,-0.08284684103401085,-0.40323214497207516,-0.0023953072693208522,-0.04828209000038143,,,,,-0.011915447224173226,-0.35613374949144566,0.012337659197197556,-0.03041477181728569,0.15343678865008667,0.00572152348276134,0.031772934260815594,-0.030268077801174798,,,,,0.2034840720696344,-0.07686707685428008,-0.23474393383189976,0.06875630169023185,,,,,-0.09303086616228316,-0.257578180918624,-0.1645182546447056,-0.2416399017821537,,,,,0.1323992548027616,-0.047479532623034996,-0.13240167725564161,-0.10051349037669473,0.06362001760956515,-0.018827383341232146,-0.21781645622008602,-0.00656613892613981,,,,,-0.010392099100170414,-0.07781194488800958,-0.11012313674674763,-0.06237793568813572,,,,,,,,,,,,,,,,,-0.03766921973874183,-0.21949052964988736,-0.06214852414003427,-0.03594206251529086,,,,,,,,,,,,,,,,,0.07204552847413326,-0.21554477391138305,-0.03413127607656916,0.0345235621480059,,,,,,,,,,,,,,,,,,,,,0.07326665716354594,-0.2297265736899144,-0.2721973553228459,0.0679338706970833,,,,,,,,,,,,,-0.007399912691564945,-0.19032955935507384,-0.009604960816788391,-0.03688532076778686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBep7_c290-I,c,I,1.8656875,215.4972276294863,383.8134669879074,140.76502852320496,221.74669881629512,17.38095238095238,7,11.482155109885142,23.64098486672293,7.372589480777303,0.08440406009427115,0.024211179444644883,-0.4355702190353163,-0.08057343455448421,67.61481578888758,66.6872382419605,1.4285714285714286,3.7519681082710803,-0.597035389339383,-0.7545982743935008,0.7890299513769861,0.008579206746256124,,,,,-0.6813008491193093,4.020756312224204,2.0261378778274026,-0.6619559823855656,0.5490354925557694,-0.940814586771447,-0.6141602677720025,2.255758118447312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.43552455210322644,0.1496623612552354,-0.5495165527098678,-0.3643603217489804,0.3948109546660713,,0.04697877360216963,0.025363656011042467,,,,,,,,,,,,,,,,,0.1310365837225841,-0.2870532609186491,-0.10940044102788958,-0.1553002696437268,,,,,,,,,,,,,0.04425630951215161,-0.13182721862572136,-0.06673800359329518,-0.02395382201973979,0.010633455420026444,-0.1012378119338281,0.03677790935697027,0.009122200894736587,,,,,,,,,0.2847631313263574,-0.2385689806698846,0.20251734581444375,-0.11465497199740732,0.3345126788807336,-0.10919971916496785,0.04035754738870523,-0.04905606902495131,,,,,,,,,0.5391292623616564,0.10107063463546986,-0.038188898510853685,-0.0812203307390082,,,,,,,,,,,,,,,,,0.28607677592849423,-0.2680463400962905,0.016537319571618952,-0.1754463914951836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3270045456669206,0.08573082715010429,0.05987481067536005,-0.029138753689636185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBep20_d330-I,d,I,1.9795625,111.67337752179331,396.97532567335236,84.13619521488725,103.8872184025608,19.45,9,8.602399956442557,25.72453161367968,6.5739364072907005,0.11655554635089885,0.0265324033866357,-0.6194863268421544,0.22299216870312613,54.238620090405206,67.11685045754828,1.8333333333333333,6.061945505635714,-0.07261105869307519,-1.2115443052004122,-0.4749871379161583,0.3009212219696161,,,,,0.22179158145814087,-1.0603372055889788,-0.7088114150427773,0.3758085032121291,-0.2519244789817882,-0.4241574706759606,-0.16462568480062886,0.10320821301737525,,,,,,,,,,,,,-0.5775809224511952,0.3296507896778129,0.3871306407099122,-0.4240180993969927,,,,,,,,,,,,,-0.43552455210322577,,-0.6621374145324008,,,-0.20989292439319115,-0.30949836984734963,-0.3707710294874682,-0.34028371653371686,-0.17067001477078764,0.026225336779349843,-0.17252934585435545,-0.33345404368218573,-0.5994386044666125,0.027217837654231903,-0.08715478051434486,-0.4034696430150026,0.2540278055450782,0.045972279418692065,0.07482711160685236,-0.3816608284675649,0.3166022028923385,0.30975441110197754,0.06023843568937193,-0.5085503440451943,-0.23766674910447216,-0.3161224614210429,-0.021363014660036095,,,,,,,,,,,,,-0.47517824336364867,0.571687083777919,0.23183694304016747,0.20330817198314305,,,,,,,,,-0.4797390743666416,-0.022757177739600846,-0.015458686609248713,-0.08632439104656761,,,,,,,,,-0.42689727362661023,-0.3843308659615758,-0.46271694752937237,-0.12306537926654329,-0.26738864741896806,-0.03015222798197394,-0.3768820210808533,-0.08099358397191253,-0.37938603847999947,-0.009534589709928577,-0.15837335273892605,-0.034324993331202,-0.5260348545549508,-0.3380367793949509,-0.21259838992597785,-0.04493478319257353,,,,,,,,,,,,,,,,,,,,,-0.3874952335972372,1.9258203300200738,0.03009278499121168,0.022278849326403526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.44215614316630614,-0.12645573138876695,-0.15033257631093536,-0.058328249048863245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBep12_d378-N,d,N,3.7075625,112.09991956274416,302.14442496130494,76.0629648303193,82.39262123611014,25.03448275862069,15,8.191595323311068,24.806171584753365,6.967698790593653,0.13804280016336012,0.02964856070345518,-0.5668729286802758,-0.5494239378462166,86.63989995086773,66.49757191568091,1.36,6.742974663272703,,,,,,,,,0.894759110685946,-0.8771545006978888,-0.6753433430044445,0.2639444189194588,-0.28666859397209343,-0.41970372397301486,-0.11723668621165331,-0.19733052564070327,-0.10986197793279835,-0.3750518839611001,-0.06050451420931326,-0.12122349034736317,,,,,-0.04296778143990863,-0.6199449739528439,-0.29350516008042365,-0.05626540621578386,,,,,,,,,0.6702100833274821,-0.9525255671745193,-0.6969257679364524,0.27393800986361694,,,,,-0.5107879451561291,,-0.13657339269391325,-0.5550522252242865,-0.07012603022261939,0.31684512601134923,-0.1920453964831488,-0.3058610935819646,-0.32008928887331894,0.4701985488917578,-0.15492912610560752,-0.0920525138743569,,,,,-0.41738200092348543,1.0453270322405526,0.13939347448231726,0.13602318325018348,-0.13535732332428746,-0.03397978258004633,0.3127570416734653,0.04660417642255592,-0.4172952651461591,-0.5811885248682865,0.24289743735190145,0.3012574153167794,0.24588903192940104,-0.2083978814191214,-0.12430164176196443,-0.17676134096234014,-0.2424232146037306,-0.37556716612451246,-0.0029520520231870796,-0.041946755004474284,,,,,-0.39580996163933235,0.7567562041353525,0.132535798617832,0.10352549672951084,,,,,,,,,-0.28209437760572303,0.7118473557006588,0.38840847503863934,0.13848513369772458,-0.4626010384947926,-0.1374942596658065,0.0016609396311710882,-0.006686969576869762,,,,,-0.3727009528256827,0.3639378816783044,-0.06930382334917033,-0.04493753451627852,,,,,-0.458498883079879,-0.026351209812402826,-0.04721626779563839,-0.07893818469579,,-0.3609156139006736,-0.20935258239038332,0.05630842983137931,-0.2140712129305023,0.06242375889527686,-0.08854526432110839,-0.0512941859660715,,,,,,,,,-0.3396421726706754,-0.4512203330905006,-0.01932585273829429,0.13645718327429424,,,,,,,,,-0.41794382183981355,-0.08122722565005434,0.22151644555878977,0.10848537285401312,-0.3071221555337885,-0.42316662867583577,-0.00010021867382937882,0.07883282242279378,,,,,,,,,-0.48890176942002295,0.5816599251304675,0.14344607902190096,0.11659048203964406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBep12_d237-N,d,N,1.0389375,238.34687009611733,395.5565996912051,152.8897974846598,158.72736268162691,16.0,2,7.960615904618607,23.82498825176981,7.040196531165749,0.12437371845572764,0.030729137017736413,-0.1959767584122362,0.0942561509449024,64.75124589698521,66.82495731098504,0.5,1.9250436142693856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4179830692556195,1.7156197674751368,,,,,,,,,0.059031686300450956,0.3561693768064428,0.16612838875321365,0.06479259714273168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1088051577609666,0.25526253501632246,0.019705871742483495,0.05225171300487427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBep20_c193-I,c,I,3.8800625,162.09569816918824,387.65893410144463,98.19183854587195,113.75200411987689,28.222222222222214,8,10.28264476381132,28.53148699702923,7.050788849076049,0.1269361697682057,0.02605933335105261,-0.3463538988183178,0.6549678178019277,71.82560729303545,66.6314313361578,1.8666666666666667,3.8659171082940023,-0.3982286353008984,0.29178157924642867,1.086211655515662,-0.21646640440219275,,,,,-0.18469320147205895,-0.9320370423031001,-0.4335064653742402,0.2184930782898,,,,,,,,,-0.41341929668121563,-0.5390748054966454,-0.10716769553959482,-0.10478746423466787,,,,,-0.20911637333443636,-0.9350853819520272,-0.5336962754302647,0.27488614153952295,,,,,-0.14847015282748496,-0.7175720660923636,-0.2358634418170038,0.30982639012270446,,,,,-0.09683928336516132,,-0.5119762654356905,,,,-0.1275176886648588,0.09687619817386428,-0.1348333719668263,0.04463067966816139,0.08682056305713262,0.06965039168689864,-0.21521124114241894,-0.5479212157647771,-0.13304402447129254,-0.2311314266681768,,,,,,,,,-0.28748777184357865,-0.03049693624977135,-0.049951557462015204,-0.07069541238368172,,,,,,,,,,,,,-0.22940444354216932,-0.16211793039329722,-0.026200728605549263,-0.016346912265241376,,,,,,,,,,,,,,,,,-0.34908491275918896,-0.23106179347801709,0.09049789913660032,0.013971948453913084,-0.050161415742426,-0.17196050330495857,0.020733374651735192,-0.05049012574693692,,,,,-0.14819754802257123,-0.30190029463185825,0.1099189581527494,-0.030317445304601526,-0.06401820733210913,-0.15765896737618063,-0.16351858783309045,0.13741344878161407,-0.24159661155164167,0.017484576636538973,-0.05827644810540285,-0.0401126168249464,,,,,-0.0147348401636683,-0.23995816844052922,-0.20436745681131527,-0.27226809274263286,,,,,,,,,,,,,,,,,-0.13730811581512828,-0.15923529121178354,-0.2701725774788673,0.09312667294575375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBep20_c131-I,c,I,4.0733125,128.2502640400186,382.7665570189912,89.89514046720194,151.528694189567,16.25,21,11.599840429720569,39.203122258980244,8.57460040900806,0.1447215118443505,0.028421672765930505,-0.5295204664475023,0.2565496394422039,75.49130790123749,66.6168782558688,1.263157894736842,4.664508308655424,-0.6436558773485317,-0.6563522350671628,0.9481318744918406,-0.04054000840239728,-0.796354722178725,2.7508770715516224,1.5163825438392875,-0.4052230172946678,-0.7632092131902436,0.7819124195948879,0.8148973175186629,-0.4983688442164392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6613147312619355,-0.28146102421547475,-0.4851617745255639,-0.6186161930493911,,0.18516061341021853,-0.21476591979837253,-0.06430377301664393,0.008188035375543462,-0.24209518261842747,0.0028479506572501,-0.07795521902388648,-0.3473814887031555,-0.5291578531295046,0.18072796953328027,-0.0019362034583552434,-0.3583025431476533,-0.48568023705562924,0.03869219562854936,-0.03184766269769135,-0.26104412696424817,-0.16470090605761653,-0.1869117572448586,-0.029765756720484073,,,,,,,,,-0.1729546769872809,-0.4863036356051166,0.017315158546212798,0.011934398307587323,,,,,-0.3223759266157133,-0.4007908708258726,-0.03969306070963147,-0.048595332974491395,,,,,,,,,-0.2808815301041495,0.023586839104380003,-0.012275709646845214,-0.01775060229450973,-0.3611549137885378,-0.1711599818623525,0.11391703244236194,-0.010816046299300032,,,,,-0.295108758612079,0.12903089329927414,0.032151003183663346,0.017885461621153006,,,,,-0.3285604391037452,0.023053830779894483,-0.030540817174593473,-0.07225669193387403,-0.4159455504274905,-0.2441401483306922,-0.008532633218986145,-0.12176977099319165,-0.2057932519460814,0.08482702763301629,0.019191032812925803,-0.05117835591535146,,,,,,,,,-0.41640420983231374,-0.4603636050410963,0.17614082493580135,0.04391531703111009,,,,,-0.41857267217144156,-0.22556750812703882,-0.02055694650326569,-0.048486411064171835,,,,,0.5108551455677184,-0.13622825372342356,-0.08041386110175595,-0.030794087574282994,,,,,,,,,-0.3311755580240505,-0.16663473430713224,0.05422902959925454,-0.029914716934630704,-0.4488278674001114,-0.15442319401024124,0.02966106603415911,-0.01237761014037896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBep12_d145-N,d,N,5.412125,121.27607202340107,384.32834548182404,84.87827935190394,0.0,42.8,12,11.618760740886804,38.76126189453471,9.220879223336897,0.12503782823195567,0.02808415427529164,-0.43567887455404253,-0.5494239378462186,78.16875647379963,66.5937323787786,1.5769230769230769,4.804027992701573,1.23035351664535,-0.5742108647480312,-2.3088964552509452,-0.37564866598053875,,,,,,,,,-0.13552679594019854,-0.7654785608223631,-0.42336386533241493,-0.0006994807568147451,5.800321842273045,-1.0312413656751693,-1.0925314975395632,2.130867578045456,,,,,-0.044057388597200105,-0.7137408177692152,-0.299236232141786,0.053414270609408655,,,,,0.6870237131087491,-1.1190154408016857,-1.1404458118684382,0.38648379735495714,,,,,,,,,0.07250335100387047,0.005954566098329391,-0.08294441087365793,,-0.16311342720035651,,-0.008877538183329692,0.039374169915436935,-0.38812066807030227,-0.31733167769701137,0.1698541188242398,0.11641379042305117,-0.23490520860477404,-0.47772427824820163,0.23896678149348863,-0.049185375810122826,-0.2664803666578494,-0.2178574968802224,0.19525847760177342,-0.03482125295649228,-0.2403352828621291,-0.1885525619216863,0.43682321441541266,0.11413787385725092,-0.15257192762800373,-0.3999226859163,0.11405532938725468,-0.16907168035267192,,,,,-0.4659173017806907,2.0375308973066972,0.223087837741033,0.1586188179901392,,,,,-0.47429245818147137,-0.3129026671650445,-0.08648647575405582,-0.010988515412038389,,,,,,,,,,,,,-0.42063332163786676,0.21564184669110145,-0.2406818467874188,0.09625359841282383,-0.4211693940947118,-0.19216280667324628,-0.10137067171665513,-0.038526700645342665,-0.4413194888786457,0.011679663885148697,-0.16833492650634124,-0.048374533007608723,-0.23056378574111622,-0.024410537898249568,0.31656991050912947,0.03823923826197319,-0.25138863307586384,-0.09265621909608979,-0.07284546197044822,-0.07339846467214238,,,,,0.5662082950558927,-0.20929926248055153,-0.08352405702919666,0.00816590415448095,,,,,-0.2823331308706036,-0.2800585837862079,0.0658334752214426,0.02194573797132439,-0.44057066177758675,-0.6437838774912785,-0.017334602608304214,-0.004509615704917262,,,,,0.04023722625907541,-0.33673598043938846,-0.06127461937629646,0.075985935040917,,,,,-0.21174291469013998,-0.31579959497389654,-0.2982465354537692,-0.3351916224812766,-0.39172711953043476,0.5409380462612291,0.2919564009665632,0.05785132815489868,,,,,-0.5052250550600315,-0.47599180101847194,0.09668836825581881,0.09032977593247328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17233152529616885,-0.1346190245721459,0.0749377406597319,-0.08827089210667008,,,,,,,,,-0.3860232827159415,0.13985381615321227,0.41719186885225185,0.18992085449766166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
